subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
qfaa5oj3hg,24302.5,489169,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
qfaa5oj3hg,24457.700000000186,552784,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
qfaa5oj3hg,2605.7000000001863,564701,684f71a92c9bd6999d0e9aa0,1,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
qfaa5oj3hg,13993.799999999814,582278,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The first student had not had a good morning,,ans,d3
qfaa5oj3hg,2098.5,590333,684f71a92c9bd6999d0e9aa0,1,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
qfaa5oj3hg,4760.5,598773,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c1
qfaa5oj3hg,9425.799999999814,613433,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
qfaa5oj3hg,8616.600000000559,630237,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
qfaa5oj3hg,2342.2999999998137,641910,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
qfaa5oj3hg,6566,654170,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The second student had had a good morning,,ans,d6
qfaa5oj3hg,2429,663583,684f71a92c9bd6999d0e9aa0,1,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
qfaa5oj3hg,32549.5,698813,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The main dish was not on the menu,,ans,c2
qfaa5oj3hg,3019.300000000745,706641,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
qfaa5oj3hg,9878.200000000186,719770,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The main dish was on the menu,,ans,c4
qfaa5oj3hg,1830.4000000003725,726652,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
qfaa5oj3hg,18808,749984,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The person did not want to eat the dessert,,ans,c3
qfaa5oj3hg,1905.5999999996275,756957,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
qfaa5oj3hg,55711.200000000186,819404,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The presented did not present Feature B,,ans,d2
qfaa5oj3hg,5645.9000000003725,830070,684f71a92c9bd6999d0e9aa0,1,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
qfaa5oj3hg,13135.200000000186,846882,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The dessert was not on the menu,,ans,d5
qfaa5oj3hg,12725.100000000559,869003,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
qfaa5oj3hg,8159.5,881285,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d7
qfaa5oj3hg,1616.0999999996275,887871,684f71a92c9bd6999d0e9aa0,0,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
qfaa5oj3hg,3549.9000000003725,895154,684f71a92c9bd6999d0e9aa0,,6851b6145b9a58eb29d70934,6851bdf8f87e1bd68c6f1929,,,,,,,,,,The person did not want to eat the main dish,,ans,d1
