subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
qhfwg1rg5h,14286.699999928474,239612,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
qhfwg1rg5h,23798.699999928474,285171,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
qhfwg1rg5h,5510.599999904633,298779,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
qhfwg1rg5h,16805.400000095367,326947,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
qhfwg1rg5h,10670.600000023842,349139,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,group,0,1,1,1,,,stim,d3
qhfwg1rg5h,16750.700000047684,374939,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The second student attended,,ans,d3
qhfwg1rg5h,4006.6999999284744,383203,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
qhfwg1rg5h,24231.100000023842,410763,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
qhfwg1rg5h,5686.799999952316,422258,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
qhfwg1rg5h,32590.800000071526,466043,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The person wanted to eat the dessert,,ans,d7
qhfwg1rg5h,3167.100000023842,472186,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
qhfwg1rg5h,8511,483435,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
qhfwg1rg5h,1262.6000000238419,488122,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
qhfwg1rg5h,27711.100000023842,521018,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The presenter did not present Feature A,,ans,d1
qhfwg1rg5h,1430.5999999046326,525450,5657688f995911000a482d40,0,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
qhfwg1rg5h,16054.599999904633,550962,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The dessert was not on the menu,,ans,c3
qhfwg1rg5h,1575.1000000238419,556138,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
qhfwg1rg5h,4720,565883,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The first student had had a good morning,,ans,d5
qhfwg1rg5h,1566.3999999761581,577178,5657688f995911000a482d40,0,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
qhfwg1rg5h,5895,597042,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The first student did not attend,,ans,c2
qhfwg1rg5h,1006.2000000476837,602409,5657688f995911000a482d40,1,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
qhfwg1rg5h,6703.100000023842,612282,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The person wanted to eat the main dish,,ans,c5
qhfwg1rg5h,1126.6000000238419,616153,5657688f995911000a482d40,0,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
qhfwg1rg5h,7039.100000023842,628362,5657688f995911000a482d40,,6851b6145b9a58eb29d70934,6851be109aaef30aa9ba1450,,,,,,,,,,The main dish was not on the menu,,ans,c1
