subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
qj5gom7h5p,11223.800000000745,749589,67f139836035abdc2ff15075,0,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
qj5gom7h5p,43607,803387,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The second student had had a good morning,,ans,d3
qj5gom7h5p,2150.5,813654,67f139836035abdc2ff15075,1,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
qj5gom7h5p,16060.400000002235,839508,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
qj5gom7h5p,702.2000000029802,846950,67f139836035abdc2ff15075,0,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
qj5gom7h5p,40847.800000000745,888903,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The files underlying Feature B were fine,,ans,d6
qj5gom7h5p,1079,896925,67f139836035abdc2ff15075,0,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
qj5gom7h5p,25862.900000002235,924446,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The second student had had a good morning,,ans,c1
qj5gom7h5p,1476,941770,67f139836035abdc2ff15075,0,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
qj5gom7h5p,8189.699999999255,965395,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The files underlying Feature B were fine,,ans,d2
qj5gom7h5p,730.6999999992549,970872,67f139836035abdc2ff15075,0,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
qj5gom7h5p,42245.89999999851,1017006,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The presented presented Feature B,,ans,c5
qj5gom7h5p,1213.7999999970198,1021730,67f139836035abdc2ff15075,1,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,80%,50%,10%,50%,group,0,1,0,0,,,stim,c2
qj5gom7h5p,10118.60000000149,1035441,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The first student attended,,ans,c2
qj5gom7h5p,710.1999999992549,1039212,67f139836035abdc2ff15075,1,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
qj5gom7h5p,23919.699999999255,1065511,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
qj5gom7h5p,599.3999999985099,1069360,67f139836035abdc2ff15075,1,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
qj5gom7h5p,11763.800000000745,1082389,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The person wanted to eat the main dish,,ans,d4
qj5gom7h5p,659.3000000007451,1086015,67f139836035abdc2ff15075,1,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
qj5gom7h5p,15641.099999997765,1105958,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The dessert was not on the menu,,ans,d1
qj5gom7h5p,702.4000000022352,1110777,67f139836035abdc2ff15075,1,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
qj5gom7h5p,3906.800000000745,1121362,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The presenter presented Feature A,,ans,c3
qj5gom7h5p,873.3000000007451,1124889,67f139836035abdc2ff15075,1,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
qj5gom7h5p,5108.300000000745,1136929,67f139836035abdc2ff15075,,6851b6145b9a58eb29d70934,6851c2e2b631b39e502d6c73,,,,,,,,,,The person wanted to eat the main dish,,ans,c4
