subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
rd7me629qj,11851.400000035763,147535,5f84e472052cf81ae5752252,0,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
rd7me629qj,23082.5,182036,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The main dish was on the menu,,ans,c5
rd7me629qj,7605.199999988079,208893,5f84e472052cf81ae5752252,0,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
rd7me629qj,6998.900000035763,228188,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
rd7me629qj,3014.600000023842,236485,5f84e472052cf81ae5752252,1,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
rd7me629qj,12555.799999952316,257284,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The dessert was not on the menu,,ans,c3
rd7me629qj,1637.1000000238419,264281,5f84e472052cf81ae5752252,0,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
rd7me629qj,10696.900000035763,279743,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
rd7me629qj,1237.5,314087,5f84e472052cf81ae5752252,1,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
rd7me629qj,20592.899999976158,337051,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The main dish was not on the menu,,ans,d2
rd7me629qj,1326.9000000357628,346235,5f84e472052cf81ae5752252,0,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
rd7me629qj,30060.400000035763,380092,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The main dish was not on the menu,,ans,d1
rd7me629qj,2827.800000011921,386578,5f84e472052cf81ae5752252,1,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
rd7me629qj,11624.600000023842,400742,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The dessert was on the menu,,ans,d7
rd7me629qj,4424.400000035763,421571,5f84e472052cf81ae5752252,1,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
rd7me629qj,12003.699999988079,441176,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The first student did not attend,,ans,c2
rd7me629qj,1935.5999999642372,448222,5f84e472052cf81ae5752252,0,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,10%,50%,80%,50%,job,1,0,0,1,,,stim,d4
rd7me629qj,12074.800000011921,464800,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
rd7me629qj,2254.099999964237,475665,5f84e472052cf81ae5752252,1,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
rd7me629qj,8118.199999988079,490839,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The first student had not had a good morning,,ans,d6
rd7me629qj,1452.1000000238419,497756,5f84e472052cf81ae5752252,1,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
rd7me629qj,14302.299999952316,515157,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
rd7me629qj,1803.199999988079,523380,5f84e472052cf81ae5752252,0,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
rd7me629qj,702108.3000000119,1230228,5f84e472052cf81ae5752252,,6851b6145b9a58eb29d70934,6851cb751e4a3518532e253b,,,,,,,,,,The first student did not attend,,ans,c1
