subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
rp0wkvu82x,12994.400000095367,375756,66a356f556472a46c90f7f44,0,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
rp0wkvu82x,13856.5,405005,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The first student had not had a good morning,,ans,d1
rp0wkvu82x,9216.5,440324,66a356f556472a46c90f7f44,1,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,80%,50%,10%,50%,group,1,1,1,0,,,stim,c5
rp0wkvu82x,80025.89999985695,555112,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The first student attended,,ans,c5
rp0wkvu82x,8693.400000095367,577530,66a356f556472a46c90f7f44,0,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,50%,10%,50%,80%,job,0,0,0,0,,,stim,c1
rp0wkvu82x,41669.5,623205,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The presenter did not present Feature A,,ans,c1
rp0wkvu82x,14588.5,656056,66a356f556472a46c90f7f44,1,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
rp0wkvu82x,29450,688919,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The presenter presented Feature A,,ans,d4
rp0wkvu82x,9268.600000143051,716513,66a356f556472a46c90f7f44,0,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
rp0wkvu82x,48395.90000009537,770873,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The first student attended,,ans,d7
rp0wkvu82x,8165,789922,66a356f556472a46c90f7f44,1,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
rp0wkvu82x,27969,821118,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The presenter did not present Feature A,,ans,d3
rp0wkvu82x,13784.5,846639,66a356f556472a46c90f7f44,1,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
rp0wkvu82x,34063.700000047684,883622,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The dessert was on the menu,,ans,c4
rp0wkvu82x,9313.199999809265,904081,66a356f556472a46c90f7f44,1,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
rp0wkvu82x,31650.400000095367,939138,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The first student attended,,ans,d5
rp0wkvu82x,13320.099999904633,966863,66a356f556472a46c90f7f44,1,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
rp0wkvu82x,34971.59999990463,1003876,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The dessert was on the menu,,ans,d2
rp0wkvu82x,8632.799999952316,1025268,66a356f556472a46c90f7f44,0,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
rp0wkvu82x,33711.60000014305,1061185,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The person wanted to eat the main dish,,ans,c2
rp0wkvu82x,10880.5,1090112,66a356f556472a46c90f7f44,0,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
rp0wkvu82x,48396.90000009537,1142974,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The presenter presented Feature A,,ans,c3
rp0wkvu82x,9148.299999952316,1166980,66a356f556472a46c90f7f44,1,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
rp0wkvu82x,32339.299999952316,1201774,66a356f556472a46c90f7f44,,6851b6145b9a58eb29d70934,6851bdca2ef7204d4cac0072,,,,,,,,,,The first student attended,,ans,d6
