subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
sh98gxgklw,212024.79999995232,533528,631610af8e747093cd90e00d,0,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
sh98gxgklw,24723.599999904633,576160,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
sh98gxgklw,15343.400000095367,598568,631610af8e747093cd90e00d,1,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
sh98gxgklw,13832.799999952316,636637,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The presenter presented Feature A,,ans,d5
sh98gxgklw,9708.900000095367,661040,631610af8e747093cd90e00d,0,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
sh98gxgklw,16647,687119,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The first student had had a good morning,,ans,c5
sh98gxgklw,10621.300000190735,701711,631610af8e747093cd90e00d,0,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
sh98gxgklw,10622.799999952316,727343,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The main dish was on the menu,,ans,d7
sh98gxgklw,2469.699999809265,733835,631610af8e747093cd90e00d,1,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
sh98gxgklw,10637.900000095367,758400,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The second student did not attend,,ans,c3
sh98gxgklw,9050.700000047684,773378,631610af8e747093cd90e00d,1,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,50%,80%,50%,10%,cook,1,1,0,1,,,stim,d6
sh98gxgklw,48892.200000047684,829286,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
sh98gxgklw,2370.0999999046326,836665,631610af8e747093cd90e00d,1,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
sh98gxgklw,14688.700000047684,858182,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The first student did not attend,,ans,c1
sh98gxgklw,3130.399999856949,866721,631610af8e747093cd90e00d,0,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
sh98gxgklw,10850.900000095367,884001,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The first student did not attend,,ans,d2
sh98gxgklw,1820.1000001430511,889498,631610af8e747093cd90e00d,0,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
sh98gxgklw,9708.899999856949,911475,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The person wanted to eat the main dish,,ans,c2
sh98gxgklw,2559.5999999046326,919096,631610af8e747093cd90e00d,1,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
sh98gxgklw,6399.199999809265,935572,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
sh98gxgklw,11523.299999952316,952559,631610af8e747093cd90e00d,1,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
sh98gxgklw,6580.100000143051,970071,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
sh98gxgklw,1664.6999998092651,975789,631610af8e747093cd90e00d,1,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,80%,50%,10%,70%,group,0,0,0,1,,,stim,d1
sh98gxgklw,6512.300000190735,991019,631610af8e747093cd90e00d,,6851b6145b9a58eb29d70934,6851bde76e0ad274ad7f0576,,,,,,,,,,The second student did not attend,,ans,d1
