subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
t1o9qmffbp,48568,605438,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
t1o9qmffbp,50546.00000000012,717384,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
t1o9qmffbp,36686,783484,677a8e5affbe5673b3a79e6b,1,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
t1o9qmffbp,24577.999999999884,839510,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c3
t1o9qmffbp,29997,886893,677a8e5affbe5673b3a79e6b,1,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
t1o9qmffbp,46852.99999999988,959650,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
t1o9qmffbp,20916.000000000116,999129,677a8e5affbe5673b3a79e6b,1,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
t1o9qmffbp,50957,1076563,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
t1o9qmffbp,19757,1137840,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
t1o9qmffbp,30587,1211263,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The second student did not attend,,ans,d4
t1o9qmffbp,11682,1242525,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
t1o9qmffbp,30588,1294958,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
t1o9qmffbp,32414,1341591,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
t1o9qmffbp,16317,1375027,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The first student did not attend,,ans,c2
t1o9qmffbp,30101,1414793,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
t1o9qmffbp,43417,1479377,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The presented did not present Feature B,,ans,d1
t1o9qmffbp,6973,1493548,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
t1o9qmffbp,17629,1525815,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The files underlying Feature B were fine,,ans,d7
t1o9qmffbp,21015.999999999767,1558873,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
t1o9qmffbp,45751,1617442,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d6
t1o9qmffbp,7438,1636801,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
t1o9qmffbp,20074,1669223,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The second student did not attend,,ans,c1
t1o9qmffbp,30073,1705577,677a8e5affbe5673b3a79e6b,0,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
t1o9qmffbp,27692,1748123,677a8e5affbe5673b3a79e6b,,6851b6145b9a58eb29d70934,6851bdfcd4914c3273096f33,,,,,,,,,,The person wanted to eat the main dish,,ans,c5
