subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
tkgaabns4l,21368.79999998212,281056,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
tkgaabns4l,83785.10000002384,387357,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The second student did not attend,,ans,c1
tkgaabns4l,26490.5,427788,677c4ec6bf1d6e16cf3d3055,1,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
tkgaabns4l,61127.19999998808,504300,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The presenter presented Feature A,,ans,d5
tkgaabns4l,25993,543408,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
tkgaabns4l,84883.40000000596,650233,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The main dish was not on the menu,,ans,c2
tkgaabns4l,14474.799999982119,711275,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
tkgaabns4l,81723,799273,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The first student attended,,ans,d7
tkgaabns4l,18854.5,837629,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
tkgaabns4l,60334.30000001192,904396,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The dessert was on the menu,,ans,d3
tkgaabns4l,25482.29999998212,942854,677c4ec6bf1d6e16cf3d3055,1,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
tkgaabns4l,47187.10000002384,995482,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The second student had not had a good morning,,ans,d2
tkgaabns4l,16998.90000000596,1024515,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
tkgaabns4l,29551.09999999404,1061181,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The dessert was not on the menu,,ans,d1
tkgaabns4l,29154.80000001192,1101358,677c4ec6bf1d6e16cf3d3055,1,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
tkgaabns4l,59809,1164381,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
tkgaabns4l,4990.5999999940395,1184785,677c4ec6bf1d6e16cf3d3055,1,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
tkgaabns4l,35537.90000000596,1227263,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The first student had not had a good morning,,ans,d4
tkgaabns4l,18598.79999998212,1249442,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
tkgaabns4l,38039.30000001192,1294584,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The main dish was on the menu,,ans,c5
tkgaabns4l,17888.899999976158,1322789,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
tkgaabns4l,13705,1343473,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The presented did not present Feature B,,ans,c3
tkgaabns4l,14800.799999982119,1365556,677c4ec6bf1d6e16cf3d3055,0,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
tkgaabns4l,45505.20000001788,1424963,677c4ec6bf1d6e16cf3d3055,,6851b6145b9a58eb29d70934,6851d1184e1f386f762e9d07,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
