subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
u425dla5g6,1722,10615768,678bd9e18b42a93aa738894d,0,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
u425dla5g6,37531.199999809265,10656407,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The first student attended,,ans,c4
u425dla5g6,1283.5999999046326,10662946,678bd9e18b42a93aa738894d,0,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
u425dla5g6,10885.399999856949,10676082,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The main dish was on the menu,,ans,d7
u425dla5g6,1214,10682334,678bd9e18b42a93aa738894d,1,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
u425dla5g6,11869.700000047684,10697335,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The dessert was on the menu,,ans,c5
u425dla5g6,1190.3000001907349,10710470,678bd9e18b42a93aa738894d,0,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
u425dla5g6,5473.299999952316,10718680,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The presenter presented Feature A,,ans,c3
u425dla5g6,1012.5,10725215,678bd9e18b42a93aa738894d,1,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
u425dla5g6,4793.5,10734552,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The presenter presented Feature A,,ans,d6
u425dla5g6,989.7000000476837,10740696,678bd9e18b42a93aa738894d,1,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
u425dla5g6,5717.299999952316,10748195,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The first student did not attend,,ans,d2
u425dla5g6,43054.799999952316,10795325,678bd9e18b42a93aa738894d,0,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
u425dla5g6,8213.5,10805577,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The second student did not attend,,ans,c1
u425dla5g6,3380.100000143051,10812671,678bd9e18b42a93aa738894d,0,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
u425dla5g6,6607.600000143051,10825041,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The person did not want to eat the dessert,,ans,c2
u425dla5g6,2128.399999856949,10832775,678bd9e18b42a93aa738894d,0,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
u425dla5g6,4803.199999809265,10842216,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The main dish was not on the menu,,ans,d1
u425dla5g6,1594.7999999523163,10847259,678bd9e18b42a93aa738894d,1,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
u425dla5g6,7205.099999904633,10856551,678bd9e18b42a93aa738894d,,6851b6145b9a58eb29d70934,6851c271bc7ca7e7bfce7f9a,,,,,,,,,,The second student attended,,ans,d3
