subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ukz892fyaw,62310,784207,67d689c9044466ed69b44416,0,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
ukz892fyaw,119047,937328,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The person did not want to eat the main dish,,ans,c5
ukz892fyaw,26486,983383,67d689c9044466ed69b44416,1,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
ukz892fyaw,26519,1033816,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The second student had not had a good morning,,ans,c3
ukz892fyaw,3223,1043991,67d689c9044466ed69b44416,0,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
ukz892fyaw,13377,1079129,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
ukz892fyaw,1158,1084919,67d689c9044466ed69b44416,0,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
ukz892fyaw,18479,1110241,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The first student had not had a good morning,,ans,d6
ukz892fyaw,1302,1114991,67d689c9044466ed69b44416,1,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
ukz892fyaw,32996,1165640,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The person did not want to eat the dessert,,ans,c4
ukz892fyaw,791,1169144,67d689c9044466ed69b44416,1,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
ukz892fyaw,24728,1201608,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
ukz892fyaw,1454,1207503,67d689c9044466ed69b44416,0,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
ukz892fyaw,8655,1230432,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The first student had not had a good morning,,ans,d5
ukz892fyaw,1111,1238711,67d689c9044466ed69b44416,1,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
ukz892fyaw,13767,1269264,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The first student had not had a good morning,,ans,c2
ukz892fyaw,1029,1274896,67d689c9044466ed69b44416,1,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
ukz892fyaw,34631,1326089,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The presented presented Feature B,,ans,d4
ukz892fyaw,839,1331176,67d689c9044466ed69b44416,1,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
ukz892fyaw,36705,1372459,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The presented did not present Feature B,,ans,d1
ukz892fyaw,2535,1383336,67d689c9044466ed69b44416,1,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
ukz892fyaw,28879,1414680,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The person did not want to eat the main dish,,ans,c1
ukz892fyaw,2161,1423082,67d689c9044466ed69b44416,0,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
ukz892fyaw,8381,1435006,67d689c9044466ed69b44416,,6851b6145b9a58eb29d70934,6851d6b720c441de6f205e07,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
