subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ul57vrz2vs,18867.599999964237,74348,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,80%,50%,10%,50%,job,0,1,0,0,,,stim,c2
ul57vrz2vs,37593,129075,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The presenter did not present Feature A,,ans,c2
ul57vrz2vs,24957.600000023842,176669,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
ul57vrz2vs,22070.5,210167,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The first student attended,,ans,c1
ul57vrz2vs,2143.899999976158,219875,677c3efd30b9201c45e8d3d0,0,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
ul57vrz2vs,20523.19999998808,252644,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The second student attended,,ans,d2
ul57vrz2vs,1836,261068,677c3efd30b9201c45e8d3d0,0,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
ul57vrz2vs,23685.599999964237,294040,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c4
ul57vrz2vs,1360.8999999761581,301376,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
ul57vrz2vs,20988,326737,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The presenter presented Feature A,,ans,d3
ul57vrz2vs,1306.800000011921,333696,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
ul57vrz2vs,26250.80000001192,363623,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The first student had had a good morning,,ans,c5
ul57vrz2vs,1692,373186,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,80%,50%,10%,70%,group,1,0,0,1,,,stim,d4
ul57vrz2vs,16486.19999998808,392606,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The first student attended,,ans,d4
ul57vrz2vs,1299.8999999761581,399120,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
ul57vrz2vs,20529,424071,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The main dish was on the menu,,ans,d7
ul57vrz2vs,1490,430716,677c3efd30b9201c45e8d3d0,0,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
ul57vrz2vs,23512.69999998808,457279,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The second student had not had a good morning,,ans,d6
ul57vrz2vs,1245.3999999761581,467254,677c3efd30b9201c45e8d3d0,0,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
ul57vrz2vs,18587.899999976158,489413,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The second student did not attend,,ans,d1
ul57vrz2vs,1423,496230,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
ul57vrz2vs,20768.30000001192,519970,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The first student had had a good morning,,ans,d5
ul57vrz2vs,1555.8999999761581,526920,677c3efd30b9201c45e8d3d0,1,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
ul57vrz2vs,25393.69999998808,554991,677c3efd30b9201c45e8d3d0,,6851b6145b9a58eb29d70934,6851be4ec24641f534fa296d,,,,,,,,,,The files underlying Feature A were fine,,ans,c3
