subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
uoondrtfqd,15211.599999904633,366635,5dc483cf74939e34e55c3619,0,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
uoondrtfqd,46060.2999997139,459271,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The second student did not attend,,ans,d1
uoondrtfqd,9218.700000286102,484973,5dc483cf74939e34e55c3619,0,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
uoondrtfqd,11744.400000095367,511383,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The first student had had a good morning,,ans,c5
uoondrtfqd,5661,522238,5dc483cf74939e34e55c3619,0,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
uoondrtfqd,4896.5,547119,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The first student did not attend,,ans,d2
uoondrtfqd,46936.699999809265,613602,5dc483cf74939e34e55c3619,1,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
uoondrtfqd,7531.400000095367,657053,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The presenter presented Feature A,,ans,d5
uoondrtfqd,2302.0999999046326,664325,5dc483cf74939e34e55c3619,0,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
uoondrtfqd,16450.300000190735,697554,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The presented presented Feature B,,ans,d7
uoondrtfqd,16377.900000095367,731436,5dc483cf74939e34e55c3619,1,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
uoondrtfqd,26105,780808,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The dessert was not on the menu,,ans,c1
uoondrtfqd,6634.699999809265,794922,5dc483cf74939e34e55c3619,1,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
uoondrtfqd,5047.5,811420,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
uoondrtfqd,10346.900000095367,829930,5dc483cf74939e34e55c3619,1,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
uoondrtfqd,5079.400000095367,854038,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The first student had had a good morning,,ans,d4
uoondrtfqd,11845.400000095367,886253,5dc483cf74939e34e55c3619,1,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
uoondrtfqd,5481.099999904633,899337,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The first student did not attend,,ans,c2
uoondrtfqd,15420.5,924327,5dc483cf74939e34e55c3619,1,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
uoondrtfqd,10583.60000038147,949340,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The person wanted to eat the dessert,,ans,c3
uoondrtfqd,12270.599999904633,968367,5dc483cf74939e34e55c3619,0,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
uoondrtfqd,6208.799999713898,990414,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The second student had not had a good morning,,ans,c4
uoondrtfqd,17428.900000095367,1012739,5dc483cf74939e34e55c3619,0,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
uoondrtfqd,38584.59999990463,1083675,5dc483cf74939e34e55c3619,,6851b6145b9a58eb29d70934,6851be30bb0a58c11bf3c9ec,,,,,,,,,,The person did not want to eat the dessert,,ans,d6
