subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
vg0hokc9oa,49679.5,1524466,671acd4b14ebfd595a8b6c09,1,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
vg0hokc9oa,212063.20000000298,1771106,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
vg0hokc9oa,4165.89999999851,1842001,671acd4b14ebfd595a8b6c09,0,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
vg0hokc9oa,88135.5,1950682,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
vg0hokc9oa,1367.3000000044703,1988114,671acd4b14ebfd595a8b6c09,1,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
vg0hokc9oa,5998.30000000447,1995425,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The person did not want to eat the main dish,,ans,c1
vg0hokc9oa,959,2003537,671acd4b14ebfd595a8b6c09,1,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
vg0hokc9oa,7992,2012650,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The second student had had a good morning,,ans,c5
vg0hokc9oa,2382.60000000149,2019825,671acd4b14ebfd595a8b6c09,1,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
vg0hokc9oa,91079,2112954,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The person wanted to eat the main dish,,ans,c4
vg0hokc9oa,1214.7999999970198,2170474,671acd4b14ebfd595a8b6c09,0,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
vg0hokc9oa,15415.10000000149,2188258,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
vg0hokc9oa,815.2999999970198,2201090,671acd4b14ebfd595a8b6c09,0,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
vg0hokc9oa,23616,2226698,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The second student had had a good morning,,ans,c3
vg0hokc9oa,871.3999999985099,2248818,671acd4b14ebfd595a8b6c09,1,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
vg0hokc9oa,68774.70000000298,2319057,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The first student attended,,ans,d6
vg0hokc9oa,782.6000000014901,2323026,671acd4b14ebfd595a8b6c09,1,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
vg0hokc9oa,14288.70000000298,2354955,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The main dish was on the menu,,ans,c2
vg0hokc9oa,903,2379458,671acd4b14ebfd595a8b6c09,1,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
vg0hokc9oa,13407.80000000447,2394322,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The main dish was on the menu,,ans,d1
vg0hokc9oa,999.9000000059605,2398938,671acd4b14ebfd595a8b6c09,0,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
vg0hokc9oa,10527.5,2411674,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The files underlying Feature B were fine,,ans,d5
vg0hokc9oa,959.6000000014901,2437146,671acd4b14ebfd595a8b6c09,0,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
vg0hokc9oa,19680.19999999553,2458754,671acd4b14ebfd595a8b6c09,,6851b6145b9a58eb29d70934,6851be9ce94b7a0d87023389,,,,,,,,,,The presented presented Feature B,,ans,d2
