subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
w8w2pf1ag9,204319.5,314470,6840a332a5bec1be5ebb527e,1,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
w8w2pf1ag9,6020.79999999702,322437,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The main dish was on the menu,,ans,d7
w8w2pf1ag9,1049.5,328333,6840a332a5bec1be5ebb527e,0,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
w8w2pf1ag9,8387.20000000298,339696,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The presenter presented Feature A,,ans,d6
w8w2pf1ag9,1078.5,344012,6840a332a5bec1be5ebb527e,0,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
w8w2pf1ag9,5336,352367,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The presenter presented Feature A,,ans,d4
w8w2pf1ag9,1182.8999999910593,357349,6840a332a5bec1be5ebb527e,1,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
w8w2pf1ag9,7031.0999999940395,367956,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The second student did not attend,,ans,d5
w8w2pf1ag9,1055.7999999970198,372493,6840a332a5bec1be5ebb527e,1,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
w8w2pf1ag9,17329.5,393707,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The first student did not attend,,ans,d2
w8w2pf1ag9,1078.7999999970198,397935,6840a332a5bec1be5ebb527e,0,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
w8w2pf1ag9,7046,408197,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The presenter presented Feature A,,ans,c4
w8w2pf1ag9,1195.2000000029802,414949,6840a332a5bec1be5ebb527e,1,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
w8w2pf1ag9,12080.29999999702,429604,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The presenter did not present Feature A,,ans,d1
w8w2pf1ag9,1842.4000000059605,434473,6840a332a5bec1be5ebb527e,0,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
w8w2pf1ag9,5259.899999991059,443372,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The first student attended,,ans,c5
w8w2pf1ag9,1830.8999999910593,448708,6840a332a5bec1be5ebb527e,0,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
w8w2pf1ag9,5415.699999988079,455972,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The presented presented Feature B,,ans,d3
w8w2pf1ag9,1131.0999999940395,460814,6840a332a5bec1be5ebb527e,0,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
w8w2pf1ag9,6117.600000008941,470412,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The first student did not attend,,ans,c1
w8w2pf1ag9,3055.1000000089407,476716,6840a332a5bec1be5ebb527e,0,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
w8w2pf1ag9,8127.9000000059605,487301,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The presenter presented Feature A,,ans,c3
w8w2pf1ag9,1220.5,493474,6840a332a5bec1be5ebb527e,1,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
w8w2pf1ag9,6102.5999999940395,502375,6840a332a5bec1be5ebb527e,,6851b6145b9a58eb29d70934,6851bf9c3f17e308f07f8f68,,,,,,,,,,The main dish was not on the menu,,ans,c2
