subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
wv4eqq9t8q,14959.100000023842,859077,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
wv4eqq9t8q,45887.19999998808,930531,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The second student had not had a good morning,,ans,d6
wv4eqq9t8q,71350.30000001192,1027276,67d74ec74d5e527f05b50dd1,1,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
wv4eqq9t8q,12482.200000047684,1071805,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The presenter did not present Feature A,,ans,d4
wv4eqq9t8q,109558.20000004768,1255795,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
wv4eqq9t8q,27884.600000023842,1298257,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The second student did not attend,,ans,d5
wv4eqq9t8q,24532.600000023842,1334054,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
wv4eqq9t8q,7983.800000011921,1361711,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The first student did not attend,,ans,d2
wv4eqq9t8q,38003,1425261,67d74ec74d5e527f05b50dd1,1,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
wv4eqq9t8q,34249.80000001192,1472144,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The files underlying Feature A were fine,,ans,c5
wv4eqq9t8q,2113.5,1483599,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
wv4eqq9t8q,8976.199999988079,1523010,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The presenter did not present Feature A,,ans,d3
wv4eqq9t8q,4847.699999988079,1542698,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
wv4eqq9t8q,38626.69999998808,1611160,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The main dish was not on the menu,,ans,c1
wv4eqq9t8q,25604.30000001192,1645158,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
wv4eqq9t8q,47954.80000001192,1723334,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The presenter presented Feature A,,ans,c3
wv4eqq9t8q,18497.19999998808,1772932,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
wv4eqq9t8q,8183.5,1833903,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The main dish was on the menu,,ans,d7
wv4eqq9t8q,22218.099999964237,1903586,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,50%,10%,50%,80%,group,0,1,0,0,,,stim,c2
wv4eqq9t8q,8863.200000047684,1938672,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The first student did not attend,,ans,c2
wv4eqq9t8q,2341,1948405,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
wv4eqq9t8q,53361.59999996424,2015005,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The second student attended,,ans,c4
wv4eqq9t8q,1779.699999988079,2022583,67d74ec74d5e527f05b50dd1,0,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
wv4eqq9t8q,21717.600000023842,2076963,67d74ec74d5e527f05b50dd1,,6851b6145b9a58eb29d70934,6851c197e39700b4ba212dc7,,,,,,,,,,The main dish was not on the menu,,ans,d1
