subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
xk5j04ml18,18767.399999976158,423173,6753b6b7014705911770ecd0,0,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
xk5j04ml18,32265,473743,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
xk5j04ml18,18411.5,515945,6753b6b7014705911770ecd0,0,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
xk5j04ml18,38331.5,570967,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c2
xk5j04ml18,17479.600000023842,616589,6753b6b7014705911770ecd0,1,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
xk5j04ml18,27720.69999998808,661461,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The dessert was on the menu,,ans,c5
xk5j04ml18,4879,688206,6753b6b7014705911770ecd0,1,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
xk5j04ml18,25157.900000035763,735424,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The main dish was not on the menu,,ans,c1
xk5j04ml18,9975.100000023842,773129,6753b6b7014705911770ecd0,0,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
xk5j04ml18,24404.600000023842,811098,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The second student had not had a good morning,,ans,c4
xk5j04ml18,10061.699999988079,828833,6753b6b7014705911770ecd0,1,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
xk5j04ml18,8134.200000047684,852690,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
xk5j04ml18,3362.600000023842,861773,6753b6b7014705911770ecd0,0,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
xk5j04ml18,16549.900000035763,892349,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The main dish was not on the menu,,ans,d1
xk5j04ml18,11271.899999976158,924851,6753b6b7014705911770ecd0,0,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
xk5j04ml18,9046.800000011921,949477,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The first student did not attend,,ans,d2
xk5j04ml18,2923.599999964237,961441,6753b6b7014705911770ecd0,1,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,80%,50%,10%,70%,group,1,0,0,1,,,stim,d4
xk5j04ml18,5670.599999964237,975786,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The second student did not attend,,ans,d4
xk5j04ml18,4292.099999964237,987898,6753b6b7014705911770ecd0,1,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
xk5j04ml18,15681.100000023842,1017452,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The second student attended,,ans,d7
xk5j04ml18,5340.100000023842,1028513,6753b6b7014705911770ecd0,1,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
xk5j04ml18,12449.600000023842,1049602,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
xk5j04ml18,5897.800000011921,1060197,6753b6b7014705911770ecd0,0,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,10%,70%,80%,50%,cook,1,0,0,0,,,stim,c3
xk5j04ml18,16902.69999998808,1089572,6753b6b7014705911770ecd0,,6851b6145b9a58eb29d70934,6851bdceb7e4571e48848672,,,,,,,,,,The dessert was not on the menu,,ans,c3
