subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
y5ulcc54xz,17246.69999998808,598578,68325a01e0770b3870ea26b3,0,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,10%,70%,80%,50%,cook,0,1,0,1,,,stim,d2
y5ulcc54xz,90377.89999997616,705853,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The dessert was on the menu,,ans,d2
y5ulcc54xz,1660.7999999523163,714270,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
y5ulcc54xz,66368.69999998808,784836,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The second student had had a good morning,,ans,c4
y5ulcc54xz,1338.9000000357628,790905,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
y5ulcc54xz,16697.799999952316,811231,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The first student had had a good morning,,ans,c5
y5ulcc54xz,1923.2999999523163,816098,68325a01e0770b3870ea26b3,0,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
y5ulcc54xz,17600.5,836293,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The presented presented Feature B,,ans,d1
y5ulcc54xz,1811.2999999523163,841249,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
y5ulcc54xz,24633.200000047684,869777,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The main dish was on the menu,,ans,c1
y5ulcc54xz,1399.1000000238419,874072,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
y5ulcc54xz,13074.199999988079,889866,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The presenter presented Feature A,,ans,c3
y5ulcc54xz,1197.699999988079,894132,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
y5ulcc54xz,6905.600000023842,903058,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The presented presented Feature B,,ans,c2
y5ulcc54xz,1155.800000011921,907357,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
y5ulcc54xz,9862.300000011921,920335,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The second student attended,,ans,d3
y5ulcc54xz,1017.3999999761581,925048,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
y5ulcc54xz,27028.30000001192,955073,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The presenter presented Feature A,,ans,d7
y5ulcc54xz,848.8000000119209,958479,68325a01e0770b3870ea26b3,0,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
y5ulcc54xz,5488.600000023842,967585,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The presenter presented Feature A,,ans,d5
y5ulcc54xz,1195,971309,68325a01e0770b3870ea26b3,1,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
y5ulcc54xz,4635.100000023842,980003,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The presenter presented Feature A,,ans,d4
y5ulcc54xz,857.0999999642372,983461,68325a01e0770b3870ea26b3,0,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
y5ulcc54xz,9343.899999976158,999614,68325a01e0770b3870ea26b3,,6851b6145b9a58eb29d70934,6851bdd888253e8cc051b3fa,,,,,,,,,,The presented presented Feature B,,ans,d6
