subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
yt5hsq5d1z,21655.400000000373,249704,66562875b665d8e2b1b6fc66,1,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
yt5hsq5d1z,21203.89999999944,308053,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The main dish was not on the menu,,ans,d2
yt5hsq5d1z,20687.5,445042,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
yt5hsq5d1z,48747,506614,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The second student had had a good morning,,ans,d3
yt5hsq5d1z,21246.60000000056,543848,66562875b665d8e2b1b6fc66,1,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
yt5hsq5d1z,25045.60000000056,584687,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d6
yt5hsq5d1z,7682.399999999441,609763,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
yt5hsq5d1z,21647.799999999814,647048,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The first student had had a good morning,,ans,c3
yt5hsq5d1z,5070.100000000559,685367,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,10%,70%,80%,50%,group,1,0,0,1,,,stim,d4
yt5hsq5d1z,11008.899999999441,706149,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The first student had not had a good morning,,ans,d4
yt5hsq5d1z,9074.600000000559,740027,66562875b665d8e2b1b6fc66,1,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
yt5hsq5d1z,33514.5,825511,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The first student had not had a good morning,,ans,c4
yt5hsq5d1z,12403.600000000559,856448,66562875b665d8e2b1b6fc66,1,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
yt5hsq5d1z,15759.900000000373,883601,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The person wanted to eat the dessert,,ans,d7
yt5hsq5d1z,9990.199999999255,909028,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
yt5hsq5d1z,36301.59999999963,962518,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The person wanted to eat the main dish,,ans,c1
yt5hsq5d1z,16473.400000000373,991738,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
yt5hsq5d1z,17679,1021135,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
yt5hsq5d1z,9787.900000000373,1041497,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
yt5hsq5d1z,20232.400000000373,1070269,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
yt5hsq5d1z,5990.299999999814,1095820,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
yt5hsq5d1z,9044.5,1111915,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The second student had not had a good morning,,ans,c2
yt5hsq5d1z,8885.699999999255,1132522,66562875b665d8e2b1b6fc66,0,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
yt5hsq5d1z,12117.899999999441,1157289,66562875b665d8e2b1b6fc66,,6851b6145b9a58eb29d70934,6851be03e838b9520642cf49,,,,,,,,,,The person wanted to eat the main dish,,ans,d1
