subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
z8yowcyejt,31081.599999904633,11304191,682cf1d07e060e8c66adbe09,1,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
z8yowcyejt,7104.099999904633,11312511,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The main dish was not on the menu,,ans,c1
z8yowcyejt,2656.5999999046326,11345695,682cf1d07e060e8c66adbe09,0,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
z8yowcyejt,5289.299999952316,11352251,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The presenter presented Feature A,,ans,c5
z8yowcyejt,19536.200000047684,11378170,682cf1d07e060e8c66adbe09,1,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
z8yowcyejt,13765.899999856949,11393235,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The second student attended,,ans,c4
z8yowcyejt,1132.5999999046326,11397539,682cf1d07e060e8c66adbe09,1,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
z8yowcyejt,6469.799999952316,11477258,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The dessert was not on the menu,,ans,d1
z8yowcyejt,828.2000000476837,11481217,682cf1d07e060e8c66adbe09,0,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,10%,50%,80%,50%,group,1,0,0,0,,,stim,c3
z8yowcyejt,23240.699999809265,11512931,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The second student did not attend,,ans,c3
z8yowcyejt,52423.10000014305,11580239,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The presented did not present Feature B,,ans,d4
z8yowcyejt,1543,11587026,682cf1d07e060e8c66adbe09,0,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,10%,50%,80%,50%,job,0,1,0,0,,,stim,c2
z8yowcyejt,12813.800000190735,11602632,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The presented presented Feature B,,ans,c2
z8yowcyejt,1247.5,11606652,682cf1d07e060e8c66adbe09,1,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
z8yowcyejt,12038,11621746,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The presenter presented Feature A,,ans,d5
z8yowcyejt,1304.2999999523163,11625799,682cf1d07e060e8c66adbe09,1,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
z8yowcyejt,5023.400000095367,11632749,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The presenter presented Feature A,,ans,d6
z8yowcyejt,2574.0999999046326,11651354,682cf1d07e060e8c66adbe09,0,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
z8yowcyejt,8087.599999904633,11661352,682cf1d07e060e8c66adbe09,,6851b6145b9a58eb29d70934,6851c25b5aed09231be465d6,,,,,,,,,,The main dish was not on the menu,,ans,d3
