subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
zpa6c8dxgb,39836.89999997616,524961,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
zpa6c8dxgb,52432.89999997616,612867,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The presented presented Feature B,,ans,d2
zpa6c8dxgb,28194.200000047684,672772,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
zpa6c8dxgb,16431,716646,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The main dish was not on the menu,,ans,c2
zpa6c8dxgb,2820.399999976158,726479,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
zpa6c8dxgb,22543.700000047684,778126,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The presenter presented Feature A,,ans,d5
zpa6c8dxgb,2742,789509,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
zpa6c8dxgb,18059,818847,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The main dish was on the menu,,ans,d7
zpa6c8dxgb,3647.300000011921,831260,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
zpa6c8dxgb,34003.80000001192,882296,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
zpa6c8dxgb,2427.5,893230,68433548f5466bbcaf5e126e,1,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
zpa6c8dxgb,8729.699999988079,911707,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The presenter did not present Feature A,,ans,d3
zpa6c8dxgb,2505.899999976158,923686,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
zpa6c8dxgb,54980.5,985789,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The dessert was not on the menu,,ans,c1
zpa6c8dxgb,2505.699999988079,997669,68433548f5466bbcaf5e126e,1,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
zpa6c8dxgb,12426.100000023842,1017803,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The dessert was not on the menu,,ans,c3
zpa6c8dxgb,2105.300000011921,1030464,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
zpa6c8dxgb,23516.400000035763,1069013,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The first student attended,,ans,c4
zpa6c8dxgb,4143.5,1082580,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
zpa6c8dxgb,27819.5,1118565,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The presenter did not present Feature A,,ans,d1
zpa6c8dxgb,2436.7999999523163,1130904,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
zpa6c8dxgb,10205.100000023842,1151789,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The dessert was not on the menu,,ans,d4
zpa6c8dxgb,2301.199999988079,1165321,68433548f5466bbcaf5e126e,0,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
zpa6c8dxgb,19356.900000035763,1192212,68433548f5466bbcaf5e126e,,6851b6145b9a58eb29d70934,6851c31a2732ac44549a25be,,,,,,,,,,The first student attended,,ans,d6
