"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trial_id","trialtype","structure","ans","node","node2","node3","pgroup","include"
"1","01vl5soqs7",0,"10%","50%","80%","50%","group",1,0,0,1,"The first student had not had a good morning","1_d4","d4","disjunctive",4,"Au","Au=0","Au=0","1",TRUE
"2","01vl5soqs7",0,"10%","70%","80%","50%","job",0,0,0,1,"The files underlying Feature B were corrupted","3_d1","d1","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE
"3","01vl5soqs7",0,"50%","10%","50%","80%","group",1,0,1,1,"The first student had had a good morning","2_d5","d5","disjunctive",3,"Au","Au=1","Au=1","2",TRUE
"4","01vl5soqs7",0,"10%","70%","80%","50%","cook",0,1,0,0,"The main dish was not on the menu","3_c2","c2","conjunctive",2,"A","A","A=0","3",TRUE
"5","01vl5soqs7",0,"10%","70%","80%","50%","group",1,1,1,0,"The second student had had a good morning","3_c5","c5","conjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE
"6","06j6drlj5j",0,"10%","70%","80%","50%","group",0,1,0,0,"The first student did not attend","3_c2","c2","conjunctive",2,"A","A","A=0","3",TRUE
"7","06j6drlj5j",0,"10%","70%","80%","50%","cook",1,0,1,1,"The person wanted to eat the main dish","3_d5","d5","disjunctive",3,"Au","Au=1","Au=1","3",TRUE
"8","06j6drlj5j",0,"10%","70%","80%","50%","job",1,1,1,0,"The files underlying Feature B were fine","3_c5","c5","conjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE
"9","06j6drlj5j",0,"10%","70%","80%","50%","group",0,1,1,1,"The second student attended","3_d3","d3","disjunctive",5,"B","B","B=1","3",TRUE
"10","06j6drlj5j",0,"10%","50%","80%","50%","group",1,1,0,0,"The first student attended","1_c4","c4","conjunctive",1,"A","A","A=1","1",TRUE
"11","06j6drlj5j",0,"10%","50%","80%","50%","job",1,1,1,1,"The files underlying Feature B were fine","1_d7","d7","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE
"12","06j6drlj5j",0,"10%","70%","80%","50%","job",0,0,0,0,"The files underlying Feature A were corrupted","3_c1","c1","conjunctive",4,"Au","Au=0","Au=0","3",TRUE
"13","072j8b878l",0,"10%","70%","80%","50%","job",0,0,0,0,"The presenter did not present Feature A","3_c1","c1","conjunctive",2,"A","A","A=0","3",TRUE
"14","072j8b878l",0,"10%","50%","80%","50%","job",1,0,0,0,"The presented did not present Feature B","1_c3","c3","conjunctive",6,"B","B","B=0","1",TRUE
"15","072j8b878l",0,"10%","70%","80%","50%","group",1,0,1,1,"The first student had had a good morning","3_d5","d5","disjunctive",3,"Au","Au=1","Au=1","3",TRUE
"16","072j8b878l",0,"10%","50%","80%","50%","cook",0,1,0,1,"The person did not want to eat the dessert","1_d2","d2","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"17","072j8b878l",0,"10%","70%","80%","50%","cook",1,1,0,0,"The person did not want to eat the main dish","3_c4","c4","conjunctive",4,"Au","Au=0","Au=0","3",TRUE
"18","072j8b878l",0,"10%","50%","80%","50%","cook",1,1,1,0,"The person wanted to eat the main dish","1_c5","c5","conjunctive",3,"Au","Au=1","Au=1","1",TRUE
"19","081821707n",0,"10%","50%","80%","50%","job",1,0,0,0,"The presented did not present Feature B","1_c3","c3","conjunctive",6,"B","B","B=0","1",TRUE
"20","081821707n",0,"10%","50%","80%","50%","cook",0,1,1,1,"The person wanted to eat the dessert","1_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE
"21","081821707n",0,"10%","50%","80%","50%","cook",0,1,0,0,"The main dish was not on the menu","1_c2","c2","conjunctive",2,"A","A","A=0","1",TRUE
"22","081821707n",0,"10%","70%","80%","50%","cook",1,1,1,1,"The main dish was on the menu","3_d7","d7","disjunctive",1,"A","A","A=1","3",TRUE
"23","081821707n",0,"50%","10%","50%","80%","group",1,1,1,0,"The first student had had a good morning","2_c5","c5","conjunctive",3,"Au","Au=1","Au=1","2",TRUE
"24","09wv6my5k8",0,"10%","50%","80%","50%","job",0,0,0,1,"The files underlying Feature B were corrupted","1_d1","d1","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"25","09wv6my5k8",0,"10%","70%","80%","50%","job",0,1,0,1,"The files underlying Feature B were corrupted","3_d2","d2","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE
"26","09wv6my5k8",0,"50%","10%","50%","80%","cook",1,1,0,0,"The person did not want to eat the main dish","2_c4","c4","conjunctive",4,"Au","Au=0","Au=0","2",TRUE
"27","09wv6my5k8",0,"10%","70%","80%","50%","group",1,0,1,1,"The first student attended","3_d5","d5","disjunctive",1,"A","A","A=1","3",TRUE
"28","09wv6my5k8",0,"50%","10%","50%","80%","group",0,1,1,1,"The second student had had a good morning","2_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"29","0bdvkdpyge",0,"10%","50%","80%","50%","cook",0,1,0,0,"The main dish was not on the menu","1_c2","c2","conjunctive",2,"A","A","A=0","1",TRUE
"30","0bdvkdpyge",0,"50%","10%","50%","80%","job",0,1,1,1,"The presenter did not present Feature A","2_d3","d3","disjunctive",2,"A","A","A=0","2",TRUE
"31","0bdvkdpyge",0,"10%","50%","80%","50%","group",1,0,0,1,"The first student attended","1_d4","d4","disjunctive",1,"A","A","A=1","1",TRUE
"32","0bdvkdpyge",0,"10%","70%","80%","50%","job",0,0,0,1,"The presented did not present Feature B","3_d1","d1","disjunctive",6,"B","B","B=0","3",TRUE
"33","0bdvkdpyge",0,"10%","70%","80%","50%","group",1,0,0,0,"The first student had had a good morning","3_c3","c3","conjunctive",3,"Au","Au=1","Au=1","3",TRUE
"34","0bdvkdpyge",0,"10%","50%","80%","50%","group",1,1,0,0,"The second student had not had a good morning","1_c4","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"35","0c0877ag2a",0,"10%","50%","80%","50%","cook",1,1,0,1,"The person did not want to eat the dessert","1_d6","d6","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"36","0c0877ag2a",0,"10%","70%","80%","50%","cook",0,1,0,0,"The main dish was on the menu","3_c2","c2","conjunctive",1,"A","A","A=1","3",FALSE
"37","0c0877ag2a",0,"10%","50%","80%","50%","cook",0,1,0,1,"The main dish was on the menu","1_d2","d2","disjunctive",1,"A","A","A=1","1",FALSE
"38","0c0877ag2a",0,"10%","70%","80%","50%","cook",1,1,1,1,"The main dish was on the menu","3_d7","d7","disjunctive",1,"A","A","A=1","3",TRUE
"39","0c0877ag2a",0,"50%","10%","50%","80%","group",0,0,0,0,"The first student did not attend","2_c1","c1","conjunctive",2,"A","A","A=0","2",TRUE
"40","0jfdc0w57x",0,"10%","70%","80%","50%","group",1,0,0,0,"The second student did not attend","3_c3","c3","conjunctive",6,"B","B","B=0","3",TRUE
"41","0jfdc0w57x",0,"10%","70%","80%","50%","cook",1,1,0,1,"The person did not want to eat the main dish","3_d6","d6","disjunctive",4,"Au","Au=0","Au=0","3",TRUE
"42","0namxa5nz4",0,"50%","10%","50%","80%","job",0,0,0,1,"The presenter did not present Feature A","2_d1","d1","disjunctive",2,"A","A","A=0","2",TRUE
"43","0namxa5nz4",0,"10%","50%","80%","50%","job",0,1,0,0,"The files underlying Feature B were corrupted","1_c2","c2","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"44","0namxa5nz4",0,"50%","10%","50%","80%","job",1,1,1,0,"The files underlying Feature B were fine","2_c5","c5","conjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"45","0namxa5nz4",0,"10%","70%","80%","50%","job",1,1,0,0,"The files underlying Feature B were corrupted","3_c4","c4","conjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE
"46","0namxa5nz4",0,"10%","70%","80%","50%","group",1,0,0,0,"The second student had not had a good morning","3_c3","c3","conjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE
"47","0namxa5nz4",0,"10%","50%","80%","50%","cook",0,0,0,0,"The main dish was not on the menu","1_c1","c1","conjunctive",2,"A","A","A=0","1",TRUE
"48","0v8gy7ctfg",0,"10%","50%","80%","50%","group",1,1,1,0,"The first student had had a good morning","1_c5","c5","conjunctive",3,"Au","Au=1","Au=1","1",TRUE
"49","0v8gy7ctfg",0,"10%","50%","80%","50%","job",1,1,0,0,"The files underlying Feature B were corrupted","1_c4","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"50","0v8gy7ctfg",0,"10%","50%","80%","50%","group",0,0,0,0,"The first student did not attend","1_c1","c1","conjunctive",2,"A","A","A=0","1",TRUE
"51","0v8gy7ctfg",0,"50%","10%","50%","80%","job",1,0,0,0,"The files underlying Feature A were corrupted","2_c3","c3","conjunctive",4,"Au","Au=0","Au=0","2",TRUE
"52","0v8gy7ctfg",0,"10%","70%","80%","50%","job",1,1,0,1,"The files underlying Feature A were corrupted","3_d6","d6","disjunctive",4,"Au","Au=0","Au=0","3",TRUE
"53","0vz9trxbk3",0,"50%","10%","50%","80%","group",1,0,0,0,"The second student did not attend","2_c3","c3","conjunctive",6,"B","B","B=0","2",TRUE
"54","0vz9trxbk3",0,"10%","50%","80%","50%","job",1,0,1,1,"The files underlying Feature A were fine","1_d5","d5","disjunctive",3,"Au","Au=1","Au=1","1",TRUE
"55","1fjolergar",0,"10%","50%","80%","50%","job",0,1,0,0,"The presented presented Feature B","1_c2","c2","conjunctive",5,"B","B","B=1","1",TRUE
"56","1fjolergar",0,"10%","50%","80%","50%","group",1,1,0,1,"The first student had not had a good morning","1_d6","d6","disjunctive",4,"Au","Au=0","Au=0","1",TRUE
"57","1fjolergar",0,"10%","70%","80%","50%","cook",0,1,0,1,"The person wanted to eat the main dish","3_d2","d2","disjunctive",3,"Au","Au=1","Au=1","3",TRUE
"58","1fjolergar",0,"50%","10%","50%","80%","cook",1,1,1,1,"The person wanted to eat the main dish","2_d7","d7","disjunctive",3,"Au","Au=1","Au=1","2",TRUE
"59","1fjolergar",0,"10%","70%","80%","50%","group",0,1,1,1,"The first student did not attend","3_d3","d3","disjunctive",2,"A","A","A=0","3",TRUE
"60","1fjolergar",0,"50%","10%","50%","80%","job",1,0,0,1,"The files underlying Feature A were corrupted","2_d4","d4","disjunctive",4,"Au","Au=0","Au=0","2",TRUE
"61","1hyrlfl88y",0,"10%","70%","80%","50%","job",1,1,1,1,"The presented presented Feature B","3_d7","d7","disjunctive",5,"B","B","B=1","3",TRUE
"62","1hyrlfl88y",0,"10%","70%","80%","50%","group",1,1,1,0,"The second student had had a good morning","3_c5","c5","conjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE
