"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"1","1_c1","1","c1","A=0",18,0.253521126760563,NA,0.0908809440558813,0.0908809440558813,0.0908809440558813,1,0.0908809440558813,1,1,1,TRUE
"2","1_c1","1","c1","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"3","1_c1","1","c1","Au=0",1,0.0140845070422535,0,0.0127865223012218,0.0127865223012218,0.0127865223012218,0.5,0.0127865223012218,0.5,0.5,0.5,TRUE
"4","1_c1","1","c1","Au=1",3,0.0422535211267606,0,0,0.0254143718506844,0,0,0.0254143718506844,0.5,0,0.5,FALSE
"5","1_c1","1","c1","B=0",38,0.535211267605634,NA,0.0126034267917147,0.0126034267917147,0.0126034267917147,1,0.0126034267917147,1,1,1,TRUE
"6","1_c1","1","c1","B=1",2,0.028169014084507,NA,0,0,0,NA,0,NA,NA,NA,NA
"7","1_c1","1","c1","Bu=0",5,0.0704225352112676,0,0.0116459224083392,0.0116459224083392,0.0116459224083392,0.5,0.0116459224083392,0.5,0.5,0.5,TRUE
"8","1_c1","1","c1","Bu=1",4,0.0563380281690141,0,0,0.00470077047177966,0,0,0.00470077047177966,0.5,0,0.5,FALSE
"9","1_c2","1","c2","A=0",36,0.580645161290323,NA,0.217314501739183,0.217314501739183,0.217314501739183,1,0.217314501739183,1,1,1,TRUE
"10","1_c2","1","c2","A=1",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA
"11","1_c2","1","c2","Au=0",2,0.032258064516129,0,0.00540191377020496,0.00540191377020496,0.00540191377020496,0.5,0.00540191377020496,0.5,0.5,0.5,TRUE
"12","1_c2","1","c2","Au=1",1,0.0161290322580645,0,0,0.0106537177996507,0,0,0.0106537177996507,0.5,0,0.5,FALSE
"13","1_c2","1","c2","B=0",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA
"14","1_c2","1","c2","B=1",8,0.129032258064516,NA,0,0.0294616840906515,0,0,0.0294616840906515,0,0,0,FALSE
"15","1_c2","1","c2","Bu=0",12,0.193548387096774,0,0.0268655414038702,0.0268655414038702,0.0268655414038702,0.5,0.0268655414038702,0.5,0.5,0.5,TRUE
"16","1_c2","1","c2","Bu=1",1,0.0161290322580645,0,0,0.011369315670228,0,0,0.011369315670228,0.5,0,0.5,FALSE
"17","1_c3","1","c3","A=0",1,0.0125,NA,0,0,0,NA,0,NA,NA,NA,NA
"18","1_c3","1","c3","A=1",8,0.1,NA,0,0.0493861106220947,0,0,0.0493861106220947,0,0,0,FALSE
"19","1_c3","1","c3","Au=0",12,0.15,0,0.0636401767793472,0.0636401767793472,0.0636401767793472,0.5,0.0636401767793472,0.5,0.5,0.5,TRUE
"20","1_c3","1","c3","Au=1",1,0.0125,0,0,0.129441629381956,0,0,0.129441629381956,0.5,0,0.5,FALSE
"21","1_c3","1","c3","B=0",41,0.5125,NA,0.0615034496827442,0.0615034496827442,0.0615034496827442,1,0.0615034496827442,1,1,1,TRUE
"22","1_c3","1","c3","B=1",5,0.0625,NA,0,0,0,NA,0,NA,NA,NA,NA
"23","1_c3","1","c3","Bu=0",5,0.0625,0,0.0555401961668298,0.0555401961668298,0.0555401961668298,0.5,0.0555401961668298,0.5,0.5,0.5,TRUE
"24","1_c3","1","c3","Bu=1",7,0.0875,0,0,0.0243460982018857,0,0,0.0243460982018857,0.5,0,0.5,FALSE
"25","1_c4","1","c4","A=0",2,0.0277777777777778,NA,0,0,0,NA,0,NA,NA,NA,NA
"26","1_c4","1","c4","A=1",6,0.0833333333333333,NA,0,0.0852953274688705,0,0,0.139436980138554,0,0,0,FALSE
"27","1_c4","1","c4","Au=0",18,0.25,0.167,0.0371111684413544,0.0371111684413544,0.0278333763310158,0.666666666666666,0.0278333763310158,0.666666666666666,0.5,0.5,TRUE
"28","1_c4","1","c4","Au=1",2,0.0277777777777778,0.167,0,0.0216636418630074,0,0,0.0682934013153953,0.333333333333333,0,0.5,FALSE
"29","1_c4","1","c4","B=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"30","1_c4","1","c4","B=1",12,0.166666666666667,NA,0,0.171351897856733,0,0,0.159740006084738,0,0,0,FALSE
"31","1_c4","1","c4","Bu=0",26,0.361111111111111,0.167,0.18303278844252,0.18303278844252,0.13727459133189,0.666666666666666,0.13727459133189,0.666666666666666,0.5,0.5,TRUE
"32","1_c4","1","c4","Bu=1",6,0.0833333333333333,0.167,0,0.0266062145471517,0,0,0.072116747799603,0.333333333333333,0,0.5,FALSE
"33","1_c5","1","c5","A=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"34","1_c5","1","c5","A=1",13,0.228070175438596,NA,0.301180270389289,0.301180270389289,0.139178706938256,1,0.139178706938256,1,1,1,TRUE
"35","1_c5","1","c5","Au=0",1,0.0175438596491228,0.5,0,0,0,0,0.0278107601678057,0,0,0.5,FALSE
"36","1_c5","1","c5","Au=1",23,0.403508771929825,0.5,0.20842745950501,0.20842745950501,0.0684153668224532,1,0.0684153668224532,1,0.5,0.5,TRUE
"37","1_c5","1","c5","B=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"38","1_c5","1","c5","B=1",4,0.0701754385964912,NA,0.124506874137086,0.124506874137086,0.159310054729917,1,0.159310054729917,1,1,1,TRUE
"39","1_c5","1","c5","Bu=0",1,0.0175438596491228,0.5,0,0,0,0,0.137117969082131,0,0,0.5,FALSE
"40","1_c5","1","c5","Bu=1",15,0.263157894736842,0.5,0.208070158732191,0.208070158732191,0.071929970021067,1,0.071929970021067,1,0.5,0.5,TRUE
"41","1_d1","1","d1","A=0",16,0.205128205128205,NA,0.0314615948170735,0.0314615948170735,0.0314615948170735,1,0.0314615948170735,1,1,1,TRUE
"42","1_d1","1","d1","A=1",1,0.0128205128205128,NA,0,0,0,NA,0,NA,NA,NA,NA
"43","1_d1","1","d1","Au=0",2,0.0256410256410256,0,0.0092207663586124,0.0092207663586124,0.0092207663586124,0.5,0.0092207663586124,0.5,0.5,0.5,TRUE
"44","1_d1","1","d1","Au=1",4,0.0512820512820513,0,0,0.00388022795319697,0,0,0.00388022795319697,0.5,0,0.5,FALSE
"45","1_d1","1","d1","B=0",36,0.461538461538462,NA,0.227061651232426,0.227061651232426,0.227061651232426,1,0.227061651232426,1,1,1,TRUE
"46","1_d1","1","d1","B=1",4,0.0512820512820513,NA,0,0,0,NA,0,NA,NA,NA,NA
