"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline"
"1","1_c1","1","c1","A=0",18,0.253521126760563,NA,0.206481611970376,0.206481611970376,0.206481611970376,1,0.206481611970376,1,1,1,TRUE,0.125
"2","1_c1","1","c1","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"3","1_c1","1","c1","Au=0",1,0.0140845070422535,0,0.0255730446024436,0.0255730446024436,0.0255730446024436,0.5,0.0255730446024436,0.5,0.5,0.5,TRUE,0.125
"4","1_c1","1","c1","Au=1",3,0.0422535211267606,0,0,0.0106776985607297,0,0,0.0106776985607297,0.5,0,0.5,FALSE,0.125
"5","1_c1","1","c1","B=0",38,0.535211267605634,NA,0.0657165445531925,0.0657165445531925,0.0657165445531925,1,0.0657165445531925,1,1,1,TRUE,0.125
"6","1_c1","1","c1","B=1",2,0.028169014084507,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"7","1_c1","1","c1","Bu=0",5,0.0704225352112676,0,0.0263671299884595,0.0263671299884595,0.0263671299884595,0.5,0.0263671299884595,0.5,0.5,0.5,TRUE,0.125
"8","1_c1","1","c1","Bu=1",4,0.0563380281690141,0,0,0.0108156173773628,0,0,0.0108156173773628,0.5,0,0.5,FALSE,0.125
"9","1_c2","1","c2","A=0",36,0.580645161290323,NA,0.410820126965272,0.410820126965272,0.410820126965272,1,0.410820126965272,1,1,1,TRUE,0.125
"10","1_c2","1","c2","A=1",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"11","1_c2","1","c2","Au=0",2,0.032258064516129,0,0.0504955771670054,0.0504955771670054,0.0504955771670054,0.5,0.0504955771670054,0.5,0.5,0.5,TRUE,0.125
"12","1_c2","1","c2","Au=1",1,0.0161290322580645,0,0,0.0213074355993014,0,0,0.0213074355993014,0.5,0,0.5,FALSE,0.125
"13","1_c2","1","c2","B=0",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"14","1_c2","1","c2","B=1",8,0.129032258064516,NA,0,0.0181068452435605,0,0,0.0181068452435605,0,0,0,FALSE,0.125
"15","1_c2","1","c2","Bu=0",12,0.193548387096774,0,0.0507118616087848,0.0507118616087848,0.0507118616087848,0.5,0.0507118616087848,0.5,0.5,0.5,TRUE,0.125
"16","1_c2","1","c2","Bu=1",1,0.0161290322580645,0,0,0.0212564146700761,0,0,0.0212564146700761,0.5,0,0.5,FALSE,0.125
"17","1_c3","1","c3","A=0",1,0.0125,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"18","1_c3","1","c3","A=1",8,0.1,NA,0,0.113449746718958,0,0,0.113449746718958,0,0,0,FALSE,0.125
