"","X","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3"
"1",1,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","A",0.0628737547003438,"A","A=0"
"2",1,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","Au=0",0.0262423642506316,"Au","Au=0"
"3",1,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","B",0.162539000359047,"B","B=0"
"4",1,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","Bu=0",0.217630800457739,"Bu","Bu=0"
"5",2,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","A",0.0253560474656439,"A","A=0"
"6",2,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","Au=0",0.010640701183818,"Au","Au=0"
"7",2,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","B",0.445255497120307,"B","B=0"
"8",2,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","Bu=1",0.105199526381208,"Bu","Bu=1"
"9",3,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","A",0.292227196615339,"A","A=0"
"10",3,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","Au=1",0.0216967616609225,"Au","Au=1"
"11",3,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","B",0.130268575285618,"B","B=0"
"12",3,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","Bu=0",0.175047478156834,"Bu","Bu=0"
"13",4,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","A",0.138099417831524,"A","A=0"
"14",4,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","Au=1",0.0103372155512911,"Au","Au=1"
"15",4,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","B",0.423479129105707,"B","B=0"
"16",4,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","Bu=1",0.100684128646494,"Bu","Bu=1"
"17",5,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","A",0.0314065934988067,"A","A=0"
"18",5,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","Au=0",0.0131784194845064,"Au","Au=0"
"19",5,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","B",0.0506067539031223,"B","B=1"
"20",5,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","Bu=0",0.475106675101838,"Bu","Bu=0"
"21",6,0,"00",0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","A",0.0310651969586079,"A","A=0"
"22",6,0,"00",0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","Au=0",0.0131982284774501,"Au","Au=0"
"23",6,0,"00",0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","B",0.0504404495275485,"B","B=1"
"24",6,0,"00",0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","Bu=0",0.474962432753576,"Bu","Bu=0"
"25",7,0,"01",0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","A",0.00642424362831305,"A","A=0"
"26",7,0,"01",0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","Au=0",0.00270732145505506,"Au","Au=0"
"27",7,0,"01",0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","B",0.250854441317705,"B","B=1"
"28",7,0,"01",0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","Bu=1",0.417748676383194,"Bu","Bu=1"
"29",8,0,"01",0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","A",0.00641588760603817,"A","A=0"
"30",8,0,"01",0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","Au=0",0.00268264064869319,"Au","Au=0"
"31",8,0,"01",0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","B",0.250943773919263,"B","B=1"
"32",8,0,"01",0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","Bu=1",0.417630034044714,"Bu","Bu=1"
"33",9,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","A",0.168710756437137,"A","A=0"
"34",9,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","Au=1",0.0125675787549179,"Au","Au=1"
"35",9,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","B",0.0470999417847007,"B","B=1"
"36",9,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","Bu=0",0.443785651712964,"Bu","Bu=0"
"37",10,0,"10",1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","A",0.169460541621617,"A","A=0"
"38",10,0,"10",1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","Au=1",0.0122539077767087,"Au","Au=1"
"39",10,0,"10",1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","B",0.0466745337985723,"B","B=1"
"40",10,0,"10",1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","Bu=0",0.442137130998033,"Bu","Bu=0"
"41",11,0,"11",1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","A",0.0368571480883116,"A","A=0"
"42",11,0,"11",1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","Au=1",0.00262858548489927,"Au","Au=1"
"43",11,0,"11",1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","B",0.247821489684275,"B","B=1"
"44",11,0,"11",1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","Bu=1",0.412676801499155,"Bu","Bu=1"
"45",12,0,"11",1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","A",0.0365556699032357,"A","A=0"
"46",12,0,"11",1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","Au=1",0.00279028099368621,"Au","Au=1"
"47",12,0,"11",1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","B",0.248778608697965,"B","B=1"
"48",12,0,"11",1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","Bu=1",0.411900236164431,"Bu","Bu=1"
"49",13,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","A",0.0922001509669303,"A","A=1"
"50",13,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","Au=0",0.359749577305646,"Au","Au=0"
"51",13,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","B",0.0816812251881672,"B","B=0"
"52",13,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","Bu=0",0.109207548870545,"Bu","Bu=0"
"53",14,1,"00",0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","A",0.0920662223600229,"A","A=1"
"54",14,1,"00",0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","Au=0",0.360239056337993,"Au","Au=0"
"55",14,1,"00",0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","B",0.0819387727308434,"B","B=0"
"56",14,1,"00",0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","Bu=0",0.109534847483785,"Bu","Bu=0"
"57",15,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","A",0.0581668348296928,"A","A=1"
"58",15,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","Au=0",0.228687999011295,"Au","Au=0"
"59",15,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","B",0.356259997878917,"B","B=0"
"60",15,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","Bu=1",0.0837463808155567,"Bu","Bu=1"
"61",16,1,"01",0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","A",0.0583832223102852,"A","A=1"
"62",16,1,"01",0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","Au=0",0.22857243446719,"Au","Au=0"
"63",16,1,"01",0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","B",0.356228168419424,"B","B=0"
"64",16,1,"01",0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","Bu=1",0.083446745860503,"Bu","Bu=1"
"65",17,1,"10",1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","A",0.376770991134219,"A","A=1"
"66",17,1,"10",1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","Au=1",0.26082050154205,"Au","Au=1"
"67",17,1,"10",1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","B",0.025363542984625,"B","B=0"
"68",17,1,"10",1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","Bu=0",0.0336370223811621,"Bu","Bu=0"
"69",18,1,"10",1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","A",0.377085465291094,"A","A=1"
"70",18,1,"10",1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","Au=1",0.261477345484511,"Au","Au=1"
"71",18,1,"10",1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","B",0.024976708406548,"B","B=0"
"72",18,1,"10",1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","Bu=0",0.0334162759730767,"Bu","Bu=0"
"73",19,1,"11",1,0,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","A",0.32779867543896,"A","A=1"
"74",19,1,"11",1,0,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","Au=1",0.22549838864715,"Au","Au=1"
"75",19,1,"11",1,0,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","B",0.149860401765737,"B","B=0"
"76",19,1,"11",1,0,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","Bu=1",0.03555759187029,"Bu","Bu=1"
"77",20,1,"11",1,0,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","A",0.326214798495664,"A","A=1"
"78",20,1,"11",1,0,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","Au=1",0.227640167667215,"Au","Au=1"
"79",20,1,"11",1,0,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","B",0.149130880986835,"B","B=0"
"80",20,1,"11",1,0,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","Bu=1",0.035169662331005,"Bu","Bu=1"
"81",21,1,"00",0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","A",0.0673982048530717,"A","A=1"
"82",21,1,"00",0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","Au=0",0.263938390906473,"Au","Au=0"
"83",21,1,"00",0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","B",0.0374491645162812,"B","B=1"
"84",21,1,"00",0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","Bu=0",0.352858992783357,"Bu","Bu=0"
"85",22,1,"00",0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","A",0.0674591323288488,"A","A=1"
"86",22,1,"00",0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","Au=0",0.264647479140529,"Au","Au=0"
"87",22,1,"00",0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","B",0.0373223891177493,"B","B=1"
"88",22,1,"00",0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","Bu=0",0.352112347271411,"Bu","Bu=0"
"89",23,1,"01",0,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","A",0.0176221736189899,"A","A=1"
"90",23,1,"01",0,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","Au=0",0.0678789149732782,"Au","Au=0"
"91",23,1,"01",0,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","B",0.234662955186599,"B","B=1"
"92",23,1,"01",0,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","Bu=1",0.390388813895722,"Bu","Bu=1"
"93",24,1,"01",0,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","A",0.0173378256943517,"A","A=1"
"94",24,1,"01",0,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","Au=0",0.0685100755130552,"Au","Au=0"
"95",24,1,"01",0,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","B",0.23409674374877,"B","B=1"
"96",24,1,"01",0,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","Bu=1",0.390243464415336,"Bu","Bu=1"
"97",25,1,"10",1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","A",0.345453008009846,"A","A=1"
"98",25,1,"10",1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","Au=1",0.238434334496754,"Au","Au=1"
"99",25,1,"10",1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","B",0.0144554475987905,"B","B=1"
"100",25,1,"10",1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","Bu=0",0.136227789852558,"Bu","Bu=0"
"101",26,1,"10",1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","A",0.345156525944555,"A","A=1"
"102",26,1,"10",1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","Au=1",0.239036354602907,"Au","Au=1"
"103",26,1,"10",1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","B",0.0143734706429498,"B","B=1"
"104",26,1,"10",1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","Bu=0",0.135387838478761,"Bu","Bu=0"
"105",27,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","A",0.143181621253194,"A","A=1"
"106",27,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","Au=1",0.0986337918140019,"Au","Au=1"
"107",27,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","B",0.144140207439172,"B","B=1"
"108",27,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","Bu=1",0.23936413778606,"Bu","Bu=1"
"109",28,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","A",0.143768563131124,"A","A=1"
"110",28,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","Au=1",0.099057049033064,"Au","Au=1"
"111",28,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","B",0.144284532687173,"B","B=1"
"112",28,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","Bu=1",0.240883236175302,"Bu","Bu=1"
"113",29,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","A",0.0377999275745657,"A","A=0"
"114",29,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","Au=0",0.0160735105666657,"Au","Au=0"
"115",29,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","B",0.0125899349256501,"B","B=0"
"116",29,0,"00",0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","Bu=0",0.0159161632044094,"Bu","Bu=0"
"117",30,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","A",0.0830283593484383,"A","A=0"
"118",30,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","Au=0",0.0350725786382215,"Au","Au=0"
"119",30,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","B",0.027027503819002,"B","B=0"
"120",30,0,"01",0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","Bu=1",0.00628545284715276,"Bu","Bu=1"
"121",31,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","A",0.0876540893595859,"A","A=0"
"122",31,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","Au=1",0.00638147868950459,"Au","Au=1"
"123",31,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","B",0.0282907777958238,"B","B=0"
"124",31,0,"10",1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","Bu=0",0.0368180967725097,"Bu","Bu=0"
"125",32,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","A",0.204480847658163,"A","A=0"
"126",32,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","Au=1",0.0149739184319548,"Au","Au=1"
"127",32,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","B",0.063524872565909,"B","B=0"
"128",32,0,"11",1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","Bu=1",0.0153457819075728,"Bu","Bu=1"
"129",33,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","A",0.0725961462149203,"A","A=0"
"130",33,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","Au=0",0.0286912327765703,"Au","Au=0"
"131",33,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","B",0.00294735147793722,"B","B=1"
"132",33,0,"00",0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","Bu=0",0.0304446097292481,"Bu","Bu=0"
"133",34,0,"01",0,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","A",0.171207039173933,"A","A=0"
"134",34,0,"01",0,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","Au=0",0.0722999215574405,"Au","Au=0"
"135",34,0,"01",0,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","B",0.00740448468491682,"B","B=1"
"136",34,0,"01",0,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","Bu=1",0.0123868202783904,"Bu","Bu=1"
"137",35,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","A",0.168820508900227,"A","A=0"
"138",35,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","Au=1",0.0124397252130732,"Au","Au=1"
"139",35,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","B",0.00753389174253279,"B","B=1"
"140",35,0,"10",1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","Bu=0",0.0709791134883215,"Bu","Bu=0"
"141",36,0,"11",1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","A",0.409016559641463,"A","A=0"
"142",36,0,"11",1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","Au=1",0.0301751459855295,"Au","Au=1"
"143",36,0,"11",1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","B",0.0183279625817342,"B","B=1"
"144",36,0,"11",1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","Bu=1",0.0301260090617617,"Bu","Bu=1"
"145",37,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","A",0.019009466113676,"A","A=1"
"146",37,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","Au=0",0.0750684954225558,"Au","Au=0"
"147",37,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","B",0.0569172132668358,"B","B=0"
"148",37,1,"00",0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","Bu=0",0.0738511457582443,"Bu","Bu=0"
