"","X","trial_id","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","A","B","E","include"
"1",1,"1_c1",1,"c1","A=0",19,0.26027397260274,NA,0.179139370193783,0.179139370193783,0.179139370193783,1,0.179139370193783,1,1,1,TRUE,0,0,0,TRUE
"2",2,"1_c1",1,"c1","A=1",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"3",3,"1_c1",1,"c1","Au=0",1,0.0136986301369863,0,0.0247998691961372,0.0247998691961372,0.0247998691961372,0.5,0.0247998691961372,0.5,0.5,0.5,TRUE,0,0,0,TRUE
"4",4,"1_c1",1,"c1","Au=1",3,0.0410958904109589,0,0,-0.050257563544354,0,0,-0.050257563544354,0.5,0,0.5,FALSE,0,0,0,TRUE
"5",5,"1_c1",1,"c1","B=0",39,0.534246575342466,NA,0.0238438885113855,0.0238438885113855,0.0238438885113855,1,0.0238438885113855,1,1,1,TRUE,0,0,0,TRUE
"6",6,"1_c1",1,"c1","B=1",2,0.0273972602739726,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"7",7,"1_c1",1,"c1","Bu=0",5,0.0684931506849315,0,0.0217122610548837,0.0217122610548837,0.0217122610548837,0.5,0.0217122610548837,0.5,0.5,0.5,TRUE,0,0,0,TRUE
"8",8,"1_c1",1,"c1","Bu=1",4,0.0547945205479452,0,0,-0.00940744801400903,0,0,-0.00940744801400903,0.5,0,0.5,FALSE,0,0,0,TRUE
"9",9,"1_c2",1,"c2","A=0",38,0.584615384615385,NA,0.436951540828883,0.436951540828883,0.436951540828883,1,0.436951540828883,1,1,1,TRUE,0,1,0,TRUE
"10",10,"1_c2",1,"c2","A=1",1,0.0153846153846154,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"11",11,"1_c2",1,"c2","Au=0",2,0.0307692307692308,0,0.0108513269241951,0.0108513269241951,0.0108513269241951,0.5,0.0108513269241951,0.5,0.5,0.5,TRUE,0,1,0,TRUE
"12",12,"1_c2",1,"c2","Au=1",1,0.0153846153846154,0,0,-0.0213718937928797,0,0,-0.0213718937928797,0.5,0,0.5,FALSE,0,1,0,TRUE
"13",13,"1_c2",1,"c2","B=0",1,0.0153846153846154,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"14",14,"1_c2",1,"c2","B=1",9,0.138461538461538,NA,0,-0.0588716925224696,0,0,-0.0588716925224696,0,0,0,FALSE,0,1,0,TRUE
"15",15,"1_c2",1,"c2","Bu=0",12,0.184615384615385,0,0.0537007874468272,0.0537007874468272,0.0537007874468272,0.5,0.0537007874468272,0.5,0.5,0.5,TRUE,0,1,0,TRUE
"16",16,"1_c2",1,"c2","Bu=1",1,0.0153846153846154,0,0,-0.0227363118402856,0,0,-0.0227363118402856,0.5,0,0.5,FALSE,0,1,0,TRUE
"17",17,"1_c3",1,"c3","A=0",1,0.0125,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"18",18,"1_c3",1,"c3","A=1",8,0.1,NA,0,-0.0988197807695186,0,0,-0.0988197807695186,0,0,0,FALSE,1,0,0,TRUE
"19",19,"1_c3",1,"c3","Au=0",12,0.15,0,0.12791876029861,0.12791876029861,0.12791876029861,0.5,0.12791876029861,0.5,0.5,0.5,TRUE,1,0,0,TRUE
"20",20,"1_c3",1,"c3","Au=1",1,0.0125,0,0,-0.259150150323054,0,0,-0.259150150323054,0.5,0,0.5,FALSE,1,0,0,TRUE
"21",21,"1_c3",1,"c3","B=0",41,0.5125,NA,0.123199997748583,0.123199997748583,0.123199997748583,1,0.123199997748583,1,1,1,TRUE,1,0,0,TRUE
"22",22,"1_c3",1,"c3","B=1",5,0.0625,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"23",23,"1_c3",1,"c3","Bu=0",5,0.0625,0,0.112463536634954,0.112463536634954,0.112463536634954,0.5,0.112463536634954,0.5,0.5,0.5,TRUE,1,0,0,TRUE
"24",24,"1_c3",1,"c3","Bu=1",7,0.0875,0,0,-0.0484243001951778,0,0,-0.0484243001951778,0.5,0,0.5,FALSE,1,0,0,TRUE
"25",25,"1_c4",1,"c4","A=0",3,0.0405405405405405,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"26",26,"1_c4",1,"c4","A=1",6,0.0810810810810811,NA,0,-0.17065349802842,0,0,-0.278980065757234,0,0,0,FALSE,1,1,0,TRUE
"27",27,"1_c4",1,"c4","Au=0",19,0.256756756756757,0.167,0.0746438539649007,0.0746438539649007,0.0559828904736756,0.666666666666666,0.0559828904736756,0.666666666666666,0.5,0.5,TRUE,1,1,0,TRUE
"28",28,"1_c4",1,"c4","Au=1",2,0.027027027027027,0.167,0,-0.0435043060725636,0,0,-0.136793346286142,0.333333333333333,0,0.5,FALSE,1,1,0,TRUE
"29",29,"1_c4",1,"c4","B=0",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"30",30,"1_c4",1,"c4","B=1",12,0.162162162162162,NA,0,-0.341324955881071,0,0,-0.31878730852111,0,0,0,FALSE,1,1,0,TRUE
"31",31,"1_c4",1,"c4","Bu=0",26,0.351351351351351,0.167,0.365470962998613,0.365470962998613,0.27410322224896,0.666666666666666,0.27410322224896,0.666666666666666,0.5,0.5,TRUE,1,1,0,TRUE
"32",32,"1_c4",1,"c4","Bu=1",6,0.0810810810810811,0.167,0,-0.0533693065315403,0,0,-0.144088089347943,0.333333333333333,0,0.5,FALSE,1,1,0,TRUE
"33",33,"1_c5",1,"c5","A=0",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,1,FALSE
"34",34,"1_c5",1,"c5","A=1",14,0.241379310344828,NA,0.60223901852367,0.60223901852367,0.278659188233916,1,0.278659188233916,1,1,1,TRUE,1,1,1,TRUE
"35",35,"1_c5",1,"c5","Au=0",1,0.0172413793103448,0.5,0,0,0,0,-0.0558012747395625,0,0,0.5,FALSE,1,1,1,TRUE
"36",36,"1_c5",1,"c5","Au=1",23,0.396551724137931,0.5,0.416018186661129,0.416018186661129,0.136474618451824,1,0.136474618451824,1,0.5,0.5,TRUE,1,1,1,TRUE
"37",37,"1_c5",1,"c5","B=0",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,1,FALSE
"38",38,"1_c5",1,"c5","B=1",4,0.0689655172413793,NA,0.250978076189876,0.250978076189876,0.318948282436458,1,0.318948282436458,1,1,1,TRUE,1,1,1,TRUE
"39",39,"1_c5",1,"c5","Bu=0",1,0.0172413793103448,0.5,0,0,0,0,-0.27419617782713,0,0,0.5,FALSE,1,1,1,TRUE
"40",40,"1_c5",1,"c5","Bu=1",15,0.258620689655172,0.5,0.41581278085761,0.41581278085761,0.143952447239684,1,0.143952447239684,1,0.5,0.5,TRUE,1,1,1,TRUE
"41",41,"1_d1",1,"d1","A=0",16,0.205128205128205,NA,0.0631015571486024,0.0631015571486024,0.0631015571486024,1,0.0631015571486024,1,1,1,TRUE,0,0,0,TRUE
"42",42,"1_d1",1,"d1","A=1",1,0.0128205128205128,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"43",43,"1_d1",1,"d1","Au=0",2,0.0256410256410256,0,0.0184604290171638,0.0184604290171638,0.0184604290171638,0.5,0.0184604290171638,0.5,0.5,0.5,TRUE,0,0,0,TRUE
"44",44,"1_d1",1,"d1","Au=1",4,0.0512820512820513,0,0,-0.0083207646498153,0,0,-0.0083207646498153,0.5,0,0.5,FALSE,0,0,0,TRUE
"45",45,"1_d1",1,"d1","B=0",36,0.461538461538462,NA,0.454466049918243,0.454466049918243,0.454466049918243,1,0.454466049918243,1,1,1,TRUE,0,0,0,TRUE
"46",46,"1_d1",1,"d1","B=1",4,0.0512820512820513,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"47",47,"1_d1",1,"d1","Bu=0",11,0.141025641025641,0,0.345675585962399,0.345675585962399,0.345675585962399,0.5,0.345675585962399,0.5,0.5,0.5,TRUE,0,0,0,TRUE
"48",48,"1_d1",1,"d1","Bu=1",4,0.0512820512820513,0,0,-0.261299490522204,0,0,-0.261299490522204,0.5,0,0.5,FALSE,0,0,0,TRUE
"49",49,"1_d2",1,"d2","A=0",15,0.197368421052632,NA,0.459683785688754,0.459683785688754,0.317396928571396,1,0.317396928571396,1,1,1,TRUE,0,1,0,TRUE
"50",50,"1_d2",1,"d2","A=1",1,0.0131578947368421,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"51",51,"1_d2",1,"d2","Au=0",3,0.0394736842105263,0,0.0219347721813992,0.0219347721813992,0.0163061313127241,0.5,0.0163061313127241,0.5,0.5,0.5,TRUE,0,1,0,TRUE
"52",52,"1_d2",1,"d2","Au=1",2,0.0263157894736842,0,0,-0.0131895531174034,0,0,-0.0080315886468725,0.5,0,0.5,FALSE,0,1,0,TRUE
"53",53,"1_d2",1,"d2","B=0",6,0.0789473684210526,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"54",54,"1_d2",1,"d2","B=1",14,0.184210526315789,NA,0,-0.178814944868202,0,0,-0.425516560494931,0,0,0,FALSE,0,1,0,TRUE
"55",55,"1_d2",1,"d2","Bu=0",28,0.368421052631579,0.5,0.618603736827108,0.618603736827108,0.309301868413554,1,0.309301868413554,1,0.5,0.5,TRUE,0,1,0,TRUE
"56",56,"1_d2",1,"d2","Bu=1",7,0.0921052631578947,0.5,0,0,0,0,-0.256088655929744,0,0,0.5,FALSE,0,1,0,TRUE
"57",57,"1_d3",1,"d3","A=0",4,0.0563380281690141,NA,0,-0.175313206428182,0,0,-0.318225462544545,0,0,0,FALSE,0,1,1,TRUE
"58",58,"1_d3",1,"d3","A=1",5,0.0704225352112676,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,1,FALSE
"59",59,"1_d3",1,"d3","Au=0",3,0.0422535211267606,0,0,-0.0109008412113564,0,0,-0.0163638958875374,0.5,0,0.5,FALSE,0,1,1,TRUE
"60",60,"1_d3",1,"d3","Au=1",2,0.028169014084507,0,0,0.00233688487209518,0,0,0.00737488191012144,0.5,0,0.5,FALSE,0,1,1,TRUE
"61",61,"1_d3",1,"d3","B=0",1,0.0140845070422535,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,1,FALSE
"62",62,"1_d3",1,"d3","B=1",9,0.126760563380282,NA,0.671727107191491,0.671727107191491,0.424639178425178,1,0.424639178425178,1,1,1,TRUE,0,1,1,TRUE
"63",63,"1_d3",1,"d3","Bu=0",1,0.0140845070422535,0.5,0,0,0,0,-0.308735177463844,0,0,0.5,FALSE,0,1,1,TRUE
"64",64,"1_d3",1,"d3","Bu=1",46,0.647887323943662,0.5,0.511698823267489,0.511698823267489,0.255849411633744,1,0.255849411633744,1,0.5,0.5,TRUE,0,1,1,TRUE
"65",65,"1_d4",1,"d4","A=0",2,0.0303030303030303,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"66",66,"1_d4",1,"d4","A=1",10,0.151515151515152,NA,0,-0.151171806449516,0,0,-0.118264785824507,0,0,0,FALSE,1,0,0,TRUE
"67",67,"1_d4",1,"d4","Au=0",28,0.424242424242424,0.5,0.588036787888369,0.588036787888369,0.294018393944185,1,0.294018393944185,1,0.5,0.5,TRUE,1,0,0,TRUE
"68",68,"1_d4",1,"d4","Au=1",4,0.0606060606060606,0.5,0,0,0,0,-0.165646524271099,0,0,0.5,FALSE,1,0,0,TRUE
"69",69,"1_d4",1,"d4","B=0",15,0.227272727272727,NA,0.437313794318068,0.437313794318068,0.354330255116155,1,0.354330255116155,1,1,1,TRUE,1,0,0,TRUE
"70",70,"1_d4",1,"d4","B=1",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"71",71,"1_d4",1,"d4","Bu=0",3,0.0454545454545455,0,0.108831156285831,0.108831156285831,0.230759841866997,0.5,0.230759841866997,0.5,0.5,0.5,TRUE,1,0,0,TRUE
"72",72,"1_d4",1,"d4","Bu=1",4,0.0606060606060606,0,0,-0.0841573296717665,0,0,-0.23713738551483,0.5,0,0.5,FALSE,1,0,0,TRUE
"73",73,"1_d5",1,"d5","A=0",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,1,FALSE
"74",74,"1_d5",1,"d5","A=1",9,0.147540983606557,NA,0.0845720778695838,0.0845720778695838,0.117456799428295,1,0.117456799428295,1,1,1,TRUE,1,0,1,TRUE
"75",75,"1_d5",1,"d5","Au=0",1,0.0163934426229508,0.5,0,0,0,0,-0.294541484143759,0,0,0.5,FALSE,1,0,1,TRUE
"76",76,"1_d5",1,"d5","Au=1",37,0.60655737704918,0.5,0.333207313465797,0.333207313465797,0.166603656732899,1,0.166603656732899,1,0.5,0.5,TRUE,1,0,1,TRUE
"77",77,"1_d5",1,"d5","B=0",6,0.0983606557377049,NA,0,-0.271258207769971,0,0,-0.353787245254007,0,0,0,FALSE,1,0,1,TRUE
"78",78,"1_d5",1,"d5","B=1",3,0.0491803278688525,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,1,FALSE
"79",79,"1_d5",1,"d5","Bu=0",2,0.0327868852459016,0,0,-0.351908497922778,0,0,-0.230316724424994,0.5,0,0.5,FALSE,1,0,1,TRUE
"80",80,"1_d5",1,"d5","Bu=1",3,0.0491803278688525,0,0,0.390278671149443,0,0,0.237221732829767,0.5,0,0.5,FALSE,1,0,1,TRUE
"81",81,"1_d6",1,"d6","A=0",2,0.0298507462686567,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"82",82,"1_d6",1,"d6","A=1",4,0.0597014925373134,NA,0,-0.755661047658232,0,0,-0.596156613710245,0,0,0,FALSE,1,1,0,TRUE
"83",83,"1_d6",1,"d6","Au=0",14,0.208955223880597,0.5,0.521672132844056,0.521672132844056,0.243568729585199,1,0.243568729585199,1,0.5,0.5,TRUE,1,1,0,TRUE
"84",84,"1_d6",1,"d6","Au=1",1,0.0149253731343284,0.5,0,0,0,0,-0.169182569247992,0,0,0.5,FALSE,1,1,0,TRUE
"85",85,"1_d6",1,"d6","B=0",4,0.0597014925373134,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"86",86,"1_d6",1,"d6","B=1",7,0.104477611940299,NA,0,-0.0493349050130202,0,0,-0.166351839328679,0,0,0,FALSE,1,1,0,TRUE
"87",87,"1_d6",1,"d6","Bu=0",33,0.492537313432836,0.5,0.0678576073695447,0.0678576073695447,0.0851644375594797,1,0.0851644375594797,1,0.5,0.5,TRUE,1,1,0,TRUE
"88",88,"1_d6",1,"d6","Bu=1",0,0,0.5,0,0,0,0,-0.138162279207402,0,0,0.5,FALSE,1,1,0,TRUE
