"","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3","noSelect","Actual","logits","soft1"
"1","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","A",0.125560625740942,"A","A=0",1,TRUE,0.0930175993490875,0.229136832352614
"2","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","Au=0",0.0522092394914649,"Au","Au=0",1,TRUE,0.0386775559032127,0.217017783729735
"3","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","B",0.325489996097285,"B","B=0",1,TRUE,0.24112891975849,0.265716690189003
"4","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","Bu=0",0.434796928056041,"Bu","Bu=0",1,TRUE,0.322105486600353,0.288128693728649
"5","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","A",0.0514015923343844,"A","A=0",1,TRUE,0.0380792361733657,0.214408332015321
"6","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","Au=0",0.0210312345265695,"Au","Au=0",1,TRUE,0.0155803217407131,0.209638239468843
"7","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","B",0.891077486880123,"B","B=0",1,TRUE,0.660126438320069,0.399386449234222
"8","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","Bu=1",-0.21071669070818,"Bu","Bu=1",1,FALSE,-0.156102763878374,0.176566979281614
"9","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","A",0.585836734226141,"A","A=0",1,TRUE,0.433998527059399,0.307344428169675
"10","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","Au=1",-0.0420069330271872,"Au","Au=1",1,FALSE,-0.0311195013814969,0.193031040220504
"11","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","B",0.26170471527877,"B","B=0",1,TRUE,0.193875621516834,0.241735977624468
"12","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","Bu=0",0.349015474473335,"Bu","Bu=0",1,TRUE,0.258557022789722,0.257888553985352
"13","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","A",0.277255619969956,"A","A=0",1,TRUE,0.20539601506015,0.248081578574434
"14","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","Au=1",-0.0205827678314564,"Au","Au=1",1,FALSE,-0.0152480894416044,0.198961936674506
"15","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","B",0.848322234942127,"B","B=0",1,TRUE,0.628452568654565,0.378726455628105
"16","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","Bu=1",-0.199759112505794,"Bu","Bu=1",1,FALSE,-0.147985190291502,0.174230029122955
"17","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","A",0.0634359718888258,"A","A=0",1,TRUE,0.0469945238218954,0.208883098835615
"18","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","Au=0",0.027341590620048,"Au","Au=0",1,TRUE,0.0202551485137519,0.203371709198692
"19","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","B",-0.100355365026207,"B","B=1",1,FALSE,-0.0743450829545791,0.185014676245215
"20","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","Bu=0",0.949608672149709,"Bu","Bu=0",1,TRUE,0.703487406845876,0.402730515720478
"21","0","00","0","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","A",-0.0593510612463115,"A","A=0",1,FALSE,-0.0439683475880641,0.272494414361918
"22","0","00","0","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","Au=0",-0.0241590957114912,"Au","Au=0",1,FALSE,-0.0178974982982662,0.279691990966891
"23","0","00","0","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","B",0.101124766776097,"B","B=1",1,TRUE,0.0749150697899217,0.306893730677408
"24","0","00","0","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","Bu=0",-0.949484037713988,"Bu","Bu=0",1,FALSE,-0.703395075384969,0.140919863993783
"25","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","A",0.0126385464941144,"A","A=0",1,TRUE,0.00936286552577301,0.311362639940382
"26","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","Au=0",0.00655684044490218,"Au","Au=0",1,TRUE,0.00485742687168635,0.309962970097917
"27","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","B",-0.502840724089759,"B","B=1",1,FALSE,-0.372513570506482,0.21252972090547
"28","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","Bu=1",-0.83520691816524,"Bu","Bu=1",1,FALSE,-0.618736503016234,0.16614466905623
"29","0","01","0","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","A",-0.0138478442310303,"A","A=0",1,FALSE,-0.0102587353235095,0.18694501114807
"30","0","01","0","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","Au=0",-0.00498710937387446,"Au","Au=0",1,FALSE,-0.00369454149269879,0.188176190867289
"31","0","01","0","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","B",0.504287116395641,"B","B=1",1,TRUE,0.373585084280933,0.274419603652941
"32","0","01","0","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","Bu=1",0.834443606041303,"Bu","Bu=1",1,TRUE,0.618171027486754,0.3504591943317
"33","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","A",0.336217882326205,"A","A=0",1,TRUE,0.249076333346274,0.250316115067804
"34","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","Au=1",-0.0262686411111888,"Au","Au=1",1,FALSE,-0.0194602879677175,0.191366025504701
"35","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","B",-0.093614735328838,"B","B=1",1,FALSE,-0.0693515016558997,0.182052798085076
"36","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","Bu=0",0.886378845775473,"Bu","Bu=0",1,TRUE,0.6566455993773,0.376265061342418
"37","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","A",-0.336853040432788,"A","A=0",1,FALSE,-0.249546870044644,0.229944830998612
"38","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","Au=1",0.0250244072378201,"Au","Au=1",1,TRUE,0.0185385368435366,0.300643393087443
"39","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","B",0.0937822464687759,"B","B=1",1,TRUE,0.0694755969605329,0.316354013349049
"40","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","Bu=0",-0.886278014489594,"Bu","Bu=0",1,FALSE,-0.656570901723507,0.153057762564896
"41","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","A",0.0743878741677015,"A","A=0",1,TRUE,0.0551078925812121,0.32128531960675
"42","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","Au=1",-0.00498576858879627,"Au","Au=1",1,FALSE,-0.00369354821468285,0.302937990779043
"43","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","B",-0.494655413001773,"B","B=1",1,FALSE,-0.366449742910554,0.210770937386156
"44","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","Bu=1",-0.825089515269173,"Bu","Bu=1",1,FALSE,-0.61124134660485,0.165005752228051
"45","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","A",-0.0733514980243343,"A","A=0",1,FALSE,-0.0543401262507259,0.180888696164716
"46","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","Au=1",0.00471125548345684,"Au","Au=1",1,TRUE,0.00349018390443149,0.191657938714831
"47","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","B",0.494470280257981,"B","B=1",1,TRUE,0.366312593200708,0.275485397414653
"48","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","Bu=1",0.82519317628416,"Bu","Bu=1",1,TRUE,0.611318140573527,0.3519679677058
"49","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","A",-0.185290938837516,"A","A=1",1,FALSE,-0.137266903618054,0.178606517411143
"50","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","Au=0",0.7202288295543,"Au","Au=0",1,TRUE,0.533558639994093,0.349327788353307
"51","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","B",0.162957337577656,"B","B=0",1,TRUE,0.120721764871309,0.231174729170783
"52","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","Bu=0",0.218531802295733,"Bu","Bu=0",1,TRUE,0.161892340939094,0.240890965064766
"53","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","A",0.184814614379104,"A","A=1",1,TRUE,0.136914033780306,0.330592090038508
"54","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","Au=0",-0.720463897632459,"Au","Au=0",1,FALSE,-0.533732782709494,0.169057423719665
"55","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","B",-0.164500135543697,"B","B=0",1,FALSE,-0.121864697715383,0.255215051133328
"56","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","Bu=0",-0.218893605130987,"Bu","Bu=0",1,FALSE,-0.162160371071744,0.245135435108499
"57","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","A",-0.117753078876938,"A","A=1",1,FALSE,-0.0872336263734075,0.187086283152778
"58","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","Au=0",0.458994989590159,"Au","Au=0",1,TRUE,0.340031851490006,0.286814422620041
"59","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","B",0.710723461078484,"B","B=0",1,TRUE,0.526516889832914,0.345613270240523
"60","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","Bu=1",-0.166235380380983,"Bu","Bu=1",1,FALSE,-0.123150198708189,0.180486023986658
"61","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","A",0.116387038447897,"A","A=1",1,TRUE,0.0862216387333856,0.309109500908209
"62","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","Au=0",-0.455003610228553,"Au","Au=0",1,FALSE,-0.337074964933274,0.202430978661121
"63","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","B",-0.712900313200885,"B","B=0",1,FALSE,-0.528129541548919,0.167225701461402
"64","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","Bu=1",0.168321074228117,"Bu","Bu=1",1,TRUE,0.124695318712909,0.321233818969269
"65","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","A",-0.755728234267497,"A","A=1",1,FALSE,-0.559857245828984,0.171020462516684
"66","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","Au=1",-0.522409579938592,"Au","Au=1",1,FALSE,-0.387010535477191,0.203289266633174
"67","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","B",0.0523493791241952,"B","B=0",1,TRUE,0.0387813738965789,0.311195655866627
"68","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","Bu=0",0.0665838030641407,"Bu","Bu=0",1,TRUE,0.0493264945121986,0.314494614983515
"69","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","A",0.754565556984801,"A","A=1",1,TRUE,0.55899591331319,0.340695296281933
"70","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","Au=1",0.521615351299232,"Au","Au=1",1,TRUE,0.386422156429766,0.286693804123917
"71","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","B",-0.0518093248472086,"B","B=0",1,FALSE,-0.0383812918480302,0.187468590373488
"72","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","Bu=0",-0.0686643975558355,"Bu","Bu=0",1,FALSE,-0.0508678368214962,0.185142309220662
"73","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","A",-0.654874393483219,"A","A=1",1,FALSE,-0.485142882950258,0.174476971910904
"74","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","Au=1",-0.452290051447733,"Au","Au=1",1,FALSE,-0.335064711145552,0.202729167619122
"75","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","B",0.300380662831539,"B","B=0",1,TRUE,0.222527468166056,0.354058841385419
"76","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","Bu=1",-0.0718257371718888,"Bu","Bu=1",1,FALSE,-0.0532098148108313,0.268735019084555
"77","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","A",0.654507449154734,"A","A=1",1,TRUE,0.48487104390574,0.333139892692239
"78","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","Au=1",0.451242518432209,"Au","Au=1",1,TRUE,0.334288679600886,0.286569226612998
"79","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","B",-0.300990252296827,"B","B=0",1,FALSE,-0.222979063149077,0.164138796970221
"80","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","Bu=1",0.0705851904726336,"Bu","Bu=1",1,TRUE,0.0522907952124166,0.216152083724541
"81","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","A",-0.133858999830891,"A","A=1",1,FALSE,-0.0991651860769547,0.180518270050094
"82","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","Au=0",0.528596101343894,"Au","Au=0",1,TRUE,0.391593623256877,0.294886578013733
"83","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","B",-0.0751147349458994,"B","B=1",1,FALSE,-0.0556463642896001,0.188547660080305
"84","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","Bu=0",0.704970939378135,"Bu","Bu=0",1,TRUE,0.522255316942429,0.336047491855869
"85","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","A",0.135342725981068,"A","A=1",1,TRUE,0.100264357443508,0.322140309703145
"86","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","Au=0",-0.52849356432349,"Au","Au=0",1,FALSE,-0.391517661963867,0.197000285041421
"87","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","B",0.0747876321541773,"B","B=1",1,TRUE,0.0554040405814565,0.308008345440654
"88","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","Bu=0",-0.705021185047079,"Bu","Bu=0",1,FALSE,-0.522292539849493,0.17285105981478
"89","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","A",-0.0345013291935347,"A","A=1",1,FALSE,-0.0255592133043086,0.291091568540437
"90","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","Au=0",0.136711495032189,"Au","Au=0",1,TRUE,0.101278366496484,0.330456643460646
"91","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","B",-0.469753252056487,"B","B=1",1,FALSE,-0.348001768347937,0.210860195046675
"92","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","Bu=1",-0.779768987813569,"Bu","Bu=1",1,FALSE,-0.577667074094832,0.167591592952242
"93","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","A",0.033985956902214,"A","A=1",1,TRUE,0.0251774161204637,0.200057840851155
"94","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","Au=0",-0.136346038532426,"Au","Au=0",1,FALSE,-0.101007629662593,0.176341328471279
"95","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","B",0.470295342870476,"B","B=1",1,TRUE,0.348403359100204,0.276395406291884
"96","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","Bu=1",0.778176719914435,"Bu","Bu=1",1,TRUE,0.576487493022947,0.347205424385682
"97","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","A",-0.691549525329079,"A","A=1",1,FALSE,-0.512312488867575,0.171008407954674
"98","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","Au=1",-0.476578386468621,"Au","Au=1",1,FALSE,-0.353057952279048,0.20053068174682
"99","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","B",-0.0299343926807807,"B","B=1",1,FALSE,-0.0221759435229638,0.279177915895428
"100","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","Bu=0",0.272478789959427,"Bu","Bu=0",1,TRUE,0.201857252351251,0.349282994403079
"101","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","A",0.691565096045171,"A","A=1",1,TRUE,0.512324023937765,0.338350845156456
"102","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","Au=1",0.477065390376797,"Au","Au=1",1,TRUE,0.353418733647768,0.288639374629556
"103","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","B",0.0293976783978591,"B","B=1",1,TRUE,0.0217783358028753,0.207169577406521
"104","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","Bu=0",-0.270963429317039,"Bu","Bu=0",1,FALSE,-0.200734645576466,0.165840202807467
"105","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","A",-0.285065939895786,"A","A=1",1,FALSE,-0.211182042370558,0.254452583857173
"106","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","Au=1",-0.198222023391939,"Au","Au=1",1,FALSE,-0.146846486669146,0.271361006952786
"107","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","B",-0.287906208515671,"B","B=1",1,FALSE,-0.213286165115799,0.253917747266136
"108","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","Bu=1",-0.479805366873055,"Bu","Bu=1",1,FALSE,-0.355448558160435,0.220268661923905
"109","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","A",0.285376502214326,"A","A=1",1,TRUE,0.211412112594789,0.244228283408604
"110","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","Au=1",0.198357628552606,"Au","Au=1",1,TRUE,0.146946945442986,0.228980811734735
"111","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","B",0.287829415689019,"B","B=1",1,TRUE,0.213229275590598,0.24467248948293
"112","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","Bu=1",0.480057890714172,"Bu","Bu=1",1,TRUE,0.355635632423092,0.282118415373731
"113","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","A",0.0691630118498526,"A","A=0",1,TRUE,0.0512372193755963,0.255964194290749
